Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
25/12/2010,122.91(122.39),104.50(107.25),N.S.(109.37),N.S.(N.S.),,80.28(N.S.),65.60(73.24),68.54(N.S.),60.77(70.36)
18/12/2010,125.06(122.95),109.00(111.26),108.78(113.70),N.S.(N.S.),,79.65(81.73),65.34(74.04),67.24(74.41),59.45(69.36)
11/12/2010,127.22(123.65),110.39(111.72),108.57(114.33),N.S.(N.S.),,79.02(81.48),63.78(N.S.),66.84(76.11),58.50(72.16)
04/12/2010,128.61(126.73),117.11(114.98),106.98(111.19),N.S.(N.S.),,78.99(82.72),64.64(76.90),66.14(77.44),57.19(75.31)
27/11/2010,131.63(126.24),118.31(120.06),104.34(110.03),N.S.(N.S.),,79.19(84.40),65.10(76.51),67.82(77.67),56.53(72.92)
20/11/2010,130.93(132.46),120.27(118.99),109.46(114.64),N.S.(N.S.),,79.94(80.23),65.21(76.24),65.21(79.41),54.81(69.08)
13/11/2010,131.62(129.38),118.41(120.09),109.18(116.15),N.S.(N.S.),,82.80(78.86),64.42(N.S.),66.24(75.37),54.11(N.S.)
06/11/2010,132.73(129.75),118.83(118.65),112.10(115.75),N.S.(N.S.),,82.63(79.27),64.54(70.38),N.S.(73.22),52.88(64.45)
30/10/2010,133.73(132.56),122.23(119.64),108.24(109.63),N.S.(N.S.),,83.39(82.58),64.65(68.75),66.65(72.78),51.42(65.26)
13/10/2010,N.S.(128.85),124.62(119.67),106.50(108.25),N.S.(N.S.),,84.58(86.17),63.59(72.49),65.61(75.68),52.14(67.16)
16/10/2010,133.76(130.14),N.S.(119.69),N.S.(106.18),N.S.(N.S.),,85.06(N.S.),63.41(73.67),66.86(N.S.),50.36(68.14)
09/10/2010,135.56(129.83),123.41(117.34),106.64(109.32),N.S.(N.S.),,85.85(84.32),62.47(73.48),65.09(77.27),50.97(68.10)
02/10/2010,131.81(N.S.),123.32(N.S.),106.39(N.S.),N.S.(N.S.),,87.00(86.50),61.45(75.59),64.76(77.85),52.16(78.60)
25/09/2010,133.27(129.70),124.46(114.83),104.10(105.28),N.S.(N.S.),,85.92(89.65),61.31(76.85),65.72(80.74),54.50(79.87)
18/09/2010,133.45(124.18),122.48(114.69),105.22(101.40),N.S.(N.S.),,88.19(93.79),63.50(75.45),68.58(80.50),51.75(75.53)
11/09/2010,135.37(121.40),125.30(112.62),106.66(N.S),N.S.(N.S.),,82.07(92.81),63.12(74.93),65.37(75.67),52.59(73.85)
04/09/2010,135.83(122.13),122.13(112.43),105.70(N.S),N.S.(N.S.),,72.98(N.S),57.46(73.75),56.18(78.51),49.30(70.36)
28/08/2010,136.17(123.21),124.84(114.19),105.84(101.70),N.S.(N.S.),,N.S(93.72),54.27(72.21),56.88(77.25),47.28(69.39)
21/08/2010,135.10(126.20),126.20(114.15),108.02(101.14),N.S.(N.S.),,73.20(94.20),53.29(72.27),55.27(76.49),49.99(67.87)
14/08/2010,135.72(123.83),123.03(113.56),109.38(102.99),N.S.(N.S.),,71.81(96.50),52.40(70.51),55.52(75.35),49.53(67.58)
07/08/2010,131.96(122.81),121.00(112.15),108.71(106.04),N.S.(N.S.),,71.36(95.46),52.30(69.52),55.79(74.30),48.91(68.64)
31/07/2010,137.58(120.93),122.64(112.08),106.85(105.19),N.S.(N.S.),,72.02(N.S.),52.34(69.64),56.30(76.80),51.14(71.04)
24/07/2010,131.27(120.67),117.92(107.28),108.18(102.15),N.S.(N.S.),,74.06(94.40),51.17(70.54),55.78(78.85),53.00(74.15)
17/07/2010,129.25(124.59),115.76(106.58),107.88(103.72),N.S.(N.S.),,74.14(87.75),51.02(73.24),56.18(80.91),46.10(81.93)
