0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
25/12/2010,113.02(112.65),71.07(72.30),100.58(107.49)
18/12/2010,114.18(115.61),70.35(76.88),103.71(106.81)
11/12/2010,115.12(116.36),69.24(78.76),104.70(110.44)
04/12/2010,118.73(117.89),69.92(79.34),107.78(109.46)
27/11/2010,119.03(119.64),68.45(78.61),107.30(109.87)
20/11/2010,120.83(122.41),70.19(76.95),109.31(110.13)
13/11/2010,119.73(122.28),71.69(77.53),109.75(116.03)
06/11/2010,123.87(121.37),72.17(73.44),111.48(110.97)
30/10/2010,122.79(119.12),69.49(73.50),110.87(108.40)
23/10/2010,117.10(120.27),69.04(77.44),103.17(110.81)
16/10/2010,133.76(122.05),71.34(72.43),103.88(115.61)
09/10/2010,122.86(119.19),69.46(79.08),111.92(110.32)
02/10/2010,121.92(N.S.),68.90(81.86),110.88(81.86)
25/09/2010,122.30(115.61),67.69(82.34),111.51(107.58)
18/09/2010,121.58(115.00),73.78(82.03),110.08(106.95)
11/09/2010,124.18(116.34),67.75(79.83),108.05(104.95)
04/09/2010,123.34(116.80),61.68(74.10),106.66(106.52)
28/08/2010,124.05(114.09),53.03(79.83),108.53(105.53)
21/08/2010,124.72(116.13),59.88(78.88),106.14(106.08)
14/08/2010,124.47(114.76),60.24(79.57),106.39(107.15)
07/08/2010,121.96(114.20),60.53(79.76),105.64(107.14)
31/07/2010,122.17(113.46),59.86(71.81),103.17(107.33)
24/07/2010,119.77(110.97),60.45(82.20),100.64(104.27)
17/07/2010,118.37(111.84),59.58(81.11),99.73(102.80)
10/07/2010,119.86(117.95),58.76(79.45),99.46(104.66)
03/07/2010,118.15(122.99),56.88(79.56),94.33(108.91)
26/06/2010,118.22(125.26),56.05(82.26),96.82(110.74)
19/06/2010,115.08(126.83),57.34(81.00),91.45(111.84)
12/06/2010,114.92(126.59),58.60(81.17),90.78(109.06)
05/06/2010,113.07(130.56),63.92(80.34),96.64(114.45)
29/05/2010,115.56(135.44),65.11(89.07),100.93(119.86)
22/05/2010,112.90(136.10),63.29(88.00),94.33(121.19)
15/05/2010,111.72(132.34),66.94(88.09),96.18(117.59)
08/05/2010,111.27(128.72),66.24(90.96),92.14(110.92)
01/05/2010,110.44(122.29),79.22(85.72),89.89(105.70)
24/04/2010,103.78(113.29),71.91(86.80),87.58(102.06)
17/04/2010,108.65(115.41),72.25(85.33),84.91(93.70)
10/04/2010,93.50(106.07),72.48(77.79),81.18(86.84)
03/04/2010,68.87(87.09),63.66(80.15),67.17(82.60)
27/03/2010,N.S.(78.90),70.27(76.71),70.27(77.81)
20/03/2010,N.S.(75.87),69.91(75.95),69.91(75.91)
13/03/2010,75.35(N.S.),68.49(76.39),72.49(76.39)
06/03/2010,80.68(75.94),68.59(79.00),76.47(76.96)
27/02/2010,88.34(76.84),71.53(74.93),84.44(76.36)
20/02/2010,92.13(79.37),71.69(74.81),87.16(78.29)
13/02/2010,94.79(82.66),72.32(75.55),88.86(81.21)
06/02/2010,95.53(86.10),71.39(74.91),89.34(83.21)
30/01/2010,102.74(86.16),73.30(74.66),92.24(82.61)
23/01/2010,97.36 (89.88),74.36 (76.95),92.68 (87.41)
16/01/2010,95.09 (88.56),73.58 (74.77),88.06 (85.28)
09/01/2010,102.74 (89.64),75.16 (74.10),95.85 (85.94)
02/01/2010,107.65 (99.01),75.29 (78.57),101.68 (92.44)
