Week Ending/Date,Location,Average_Price
31/12/2016,NORTH INDIA,127.22(134.76)
24/12/2016,NORTH INDIA,139.60(140.84)
17/12/2016,NORTH INDIA,140.25(142.19)
10/12/2016,NORTH INDIA,140.76(139.91)
03/12/2016,NORTH INDIA,142.91(143.41)
26/11/2016,NORTH INDIA,145.47(148.39)
19/11/2016,NORTH INDIA,144.70(143.69)
12/11/2016,NORTH INDIA,147.44(159.75)
05/11/2016,NORTH INDIA,144.96 (142.51)
29/10/2016,NORTH INDIA,143.33 (141.84)
22/10/2016,NORTH INDIA,152.28 (NS)
15/10/2016,NORTH INDIA,NS (142.42)
08/10/2016,NORTH INDIA,141.68(142.43)
01/10/2016,NORTH INDIA,144.41(139.54)
24/09/2016,NORTH INDIA,144.45 (145.16)
17/09/2016,NORTH INDIA,144.79 (144.81)
10/09/2016,NORTH INDIA,146.32 (147.74)
03/09/2016,NORTH INDIA,147.21 (150.03)
27/08/2016,NORTH INDIA,147.87 (152.36)
20/08/2016,NORTH INDIA,146.97 (154.26)
13/08/2016,NORTH INDIA,149.88 (152.49)
06/08/2016,NORTH INDIA,154.30 (154.72)
30/07/2016,NORTH INDIA,154.23 (156.64)
23/07/2016,NORTH INDIA,157.50 (158.62)
16/07/2016,NORTH INDIA,162.16 (156.20)
09/07/2016,NORTH INDIA,160.77(151.86)
02/07/2016,NORTH INDIA,163.51 (152.77)
25/06/2016,NORTH INDIA,163.00 (155.55)
18/06/2016,NORTH INDIA,161.14 (152.86)
11/06/2016,NORTH INDIA,154.78 (149.27)
04/06/2016,NORTH INDIA,149.79 (147.94)
28/05/2016,NORTH INDIA,145.07(150.73)
21/05/2016,NORTH INDIA,144.51(146.39)
14/05/2016,NORTH INDIA,147.11(146.37)
07/05/2016,NORTH INDIA,143.74 (148.33)
30/04/2016,NORTH INDIA,146.07 (145.79)
23/04/2016,NORTH INDIA,151.63 (136.82)
16/04/2016,NORTH INDIA,158.04 (135.97)
09/04/2016,NORTH INDIA,159.10 (127.87)
02/04/2016,NORTH INDIA,133.99 (102.15)
26/03/2016,NORTH INDIA,NS (91.09)
19/03/2016,NORTH INDIA,118.28 (78.45)
12/03/2016,NORTH INDIA,105.38 (88.74)
05/03/2016,NORTH INDIA,102.43 (92.55)
27/02/2016,NORTH INDIA,109.09 (92.01)
20/02/2016,NORTH INDIA,111.95 (100.46)
13/02/2016,NORTH INDIA,111.97 (108.15)
06/02/2016,NORTH INDIA,114.32 (109.53)
30/01/2016,NORTH INDIA,116.67 (118.53)
23/01/2016,NORTH INDIA,121.42 (121.43)
16/01/2016,NORTH INDIA,130.43 (131.87)
09/01/2016,NORTH INDIA,134.35 (127.53)
02/01/2016,NORTH INDIA,134.76 (131.40)
31/12/2016,SOUTH INDIA,99.14(100.33)
24/12/2016,SOUTH INDIA,110.39(81.78)
17/12/2016,SOUTH INDIA,108.13 (93.26)
10/12/2016,SOUTH INDIA,107.16(91.38)
03/12/2016,SOUTH INDIA,106.36(88.24)
26/11/2016,SOUTH INDIA,105.45(87.43)
19/11/2016,SOUTH INDIA,104.26(83.49)
12/11/2016,SOUTH INDIA,106.05(89.58)
05/11/2016,SOUTH INDIA,104.18 (81.53)
29/10/2016,SOUTH INDIA,108.86 (81.78)
22/10/2016,SOUTH INDIA,104.29 (81.94)
15/10/2016,SOUTH INDIA,103.96 (84.15)
08/10/2016,SOUTH INDIA,104.60 (81.81)
01/10/2016,SOUTH INDIA,104.30 (84.14)
24/09/2016,SOUTH INDIA,105.14 (83.45)
17/09/2016,SOUTH INDIA,98.42 (80.43)
10/09/2016,SOUTH INDIA,105.18 (76.36)
03/09/2016,SOUTH INDIA,102.84 (76.74)
27/08/2016,SOUTH INDIA,101.89 (64.29)
20/08/2016,SOUTH INDIA,100.17 (78.72)
13/08/2016,SOUTH INDIA,97.15 (76.78)
06/08/2016,SOUTH INDIA,94.75(73.54)
30/07/2016,SOUTH INDIA,97.95 (73.85)
23/07/2016,SOUTH INDIA,94.30 (74.30)
16/07/2016,SOUTH INDIA,95.86 (76.31)
09/07/2016,SOUTH INDIA,96.87(78.35)
02/07/2016,SOUTH INDIA,99.04 (78.01)
25/06/2016,SOUTH INDIA,103.31 (76.25)
18/06/2016,SOUTH INDIA,106.26 (74.48)
11/06/2016,SOUTH INDIA,106.97 (73.19)
04/06/2016,SOUTH INDIA,104.49 (75.13)
28/05/2016,SOUTH INDIA,106.80 (74.98)
21/05/2016,SOUTH INDIA,105.50 (76.18)
14/05/2016,SOUTH INDIA,106.98 (78.96)
07/05/2016,SOUTH INDIA,105.31 (80.51)
30/04/2016,SOUTH INDIA,104.21 (82.74)
23/04/2016,SOUTH INDIA,103.51 (86.46)
16/04/2016,SOUTH INDIA,104.49 (85.90)
09/04/2016,SOUTH INDIA,103.41 (85.87)
02/04/2016,SOUTH INDIA,103.04 (75.24)
26/03/2016,SOUTH INDIA,90.32 (86.31)
19/03/2016,SOUTH INDIA,99.85 (85.56)
12/03/2016,SOUTH INDIA,99.29 (84.86)
05/03/2016,SOUTH INDIA,102.49 (85.80)
27/02/2016,SOUTH INDIA,107.41 (85.87)
20/02/2016,SOUTH INDIA,111.51 (86.10)
13/02/2016,SOUTH INDIA,112.97 (86.12)
06/02/2016,SOUTH INDIA,113.54 (103.39)
30/01/2016,SOUTH INDIA,110.14 (85.61)
23/01/2016,SOUTH INDIA,105.16 (83.91)
16/01/2016,SOUTH INDIA,105.19 (82.78)
09/01/2016,SOUTH INDIA,98.37 (79.19)
02/01/2016,SOUTH INDIA,100.33 (76.99)
31/12/2016,ALL INDIA,126.35(130.03)
24/12/2016,ALL INDIA,134.61(135.61)
17/12/2016,ALL INDIA,134.58 (133.05)
10/12/2016,ALL INDIA,134.44(130.90)
03/12/2016,ALL INDIA,135.93(134.07)
26/11/2016,ALL INDIA,137.55(136.30)
19/11/2016,ALL INDIA,104.26(131.36)
12/11/2016,ALL INDIA,138.90(145.15)
05/11/2016,ALL INDIA,136.03 (131.89)
29/10/2016,ALL INDIA,139.97 (131.49)
22/10/2016,ALL INDIA,140.72 (81.94)
15/10/2016,ALL INDIA,103.96(130.51)
08/10/2016,ALL INDIA,133.55 (129.88)
01/10/2016,ALL INDIA,136.63(128.07)
24/09/2016,ALL INDIA,136.36 (132.12)
17/09/2016,ALL INDIA,139.28 (130.38)
10/09/2016,ALL INDIA,137.86 (133.40)
03/09/2016,ALL INDIA,138.09 (134.80)
27/08/2016,ALL INDIA,138.54 (140.35)
20/08/2016,ALL INDIA,136.93 (138.62)
13/08/2016,ALL INDIA,137.55 (134.97)
06/08/2016,ALL INDIA,140.01(135.73)
30/07/2016,ALL INDIA,141.67 (135.10)
23/07/2016,ALL INDIA,146.36 (136.80)
16/07/2016,ALL INDIA,148.90 (135.93)
09/07/2016,ALL INDIA,147.56(130.60)
02/07/2016,ALL INDIA,148.52 (130.83)
25/06/2016,ALL INDIA,147.52 (130.49)
18/06/2016,ALL INDIA,146.45 (126.73)
11/06/2016,ALL INDIA,142.10 (121.22)
04/06/2016,ALL INDIA,136.94 (119.66)
28/05/2016,ALL INDIA,135.08 (119.78)
21/05/2016,ALL INDIA,134.52 (115.92)
14/05/2016,ALL INDIA,136.28 (114.97)
07/05/2016,ALL INDIA,133.36 (118.13)
30/04/2016,ALL INDIA,132.93 (113.78)
23/04/2016,ALL INDIA,135.67 (111.34)
16/04/2016,ALL INDIA,134.60 (111.09)
09/04/2016,ALL INDIA,130.18 (105.31)
02/04/2016,ALL INDIA,113.92 (91.31)
26/03/2016,ALL INDIA,90.32 (89.05)
19/03/2016,ALL INDIA,104.82 (83.68)
12/03/2016,ALL INDIA,101.12 (87.42)
05/03/2016,ALL INDIA,102.48 (89.20)
27/02/2016,ALL INDIA,108.13 (90.24)
20/02/2016,ALL INDIA,111.76 (96.16)
13/02/2016,ALL INDIA,112.27 (102.45)
06/02/2016,ALL INDIA,113.55 (103.39)
30/01/2016,ALL INDIA,115.21 (110.34)
23/01/2016,ALL INDIA,118.14 (112.96)
16/01/2016,ALL INDIA,124.26 (118.38)
09/01/2016,ALL INDIA,127.19 (117.14)
02/01/2016,ALL INDIA,130.03 (118.46)
