Week Ending/Date,Location,Average_Price
26/12/2015,NORTH INDIA,140.84 (135.68)
19/12/2015,NORTH INDIA,142.19 (138.53)
12/12/2015,NORTH INDIA,139.91 (141.31)
05/12/2015,NORTH INDIA,143.41 (143.52)
28/11/2015,NORTH INDIA,148.39 (142.64)
21/11/2015,NORTH INDIA,143.69 (146.36)
14/11/2015,NORTH INDIA,159.75 (145.24)
07/11/2015,NORTH INDIA,142.51 (139.44)
31/10/2015,NORTH INDIA,141.84 (140.90)
24/10/2015,NORTH INDIA,NS (143.82)
17/10/2015,NORTH INDIA,142.41 (139.45)
10/10/2015,NORTH INDIA,142.43 (138.22)
03/10/2015,NORTH INDIA,139.54 (NS)
26/09/2015,NORTH INDIA,145.16 (140.03)
19/09/2015,NORTH INDIA,144.80 (141.72)
12/09/2015,NORTH INDIA,147.74 (142.54)
05/09/2015,NORTH INDIA,150.03 (142.47)
29/08/2015,NORTH INDIA,152.36 (145.49)
22/08/2015,NORTH INDIA,154.26 (148.11)
15/08/2015,NORTH INDIA,152.49 (151.41)
08/08/2015,NORTH INDIA,154.72 (154.47)
01/08/2015,NORTH INDIA,156.64 (160.17)
25/07/2015,NORTH INDIA,158.62 (164.59)
18/07/2015,NORTH INDIA,156.20 (168.57)
11/07/2015,NORTH INDIA,151.86 (177.08)
04/07/2015,NORTH INDIA,152.77 (176.74)
27/06/2015,NORTH INDIA,155.55 (177.03)
20/06/2015,NORTH INDIA,152.86 (171.59)
13/06/2015,NORTH INDIA,149.27 (164.63)
06/06/2015,NORTH INDIA,147.94 (158.74)
30/05/2015,NORTH INDIA,150.73 (157.54)
23/05/2015,NORTH INDIA,146.39 (157.19)
16/05/2015,NORTH INDIA,146.37 (159.81)
09/05/2015,NORTH INDIA,148.33(157.57)
02/05/2015,NORTH INDIA,145.73 (161.24)
25/04/2015,NORTH INDIA,136.82 (155.69)
18/04/2015,NORTH INDIA,135.97 (145.14)
11/04/2015,NORTH INDIA,127.87 (155.64)
04/04/2015,NORTH INDIA,102.15 (137.07)
28/03/2015,NORTH INDIA,91.09(100.59)
21/03/2015,NORTH INDIA,78.45(NS)
14/03/2015,NORTH INDIA,88.74 (NS)
07/03/2015,NORTH INDIA,92.53(104.52)
28/02/2015,NORTH INDIA,92.01(NS)
21/02/2015,NORTH INDIA,100.46(107.74)
14/02/2015,NORTH INDIA,108.15(107.20)
07/02/2015,NORTH INDIA,109.53(111.03)
31/01/2015,NORTH INDIA,118.51(112.37)
24/01/2015,NORTH INDIA,121.43(114.97)
17/01/2015,NORTH INDIA,131.87(119.07)
10/01/2015,NORTH INDIA,127.53(123.45)
03/01/2015,NORTH INDIA,131.40(129.18)
26/12/2015,SOUTH INDIA,81.78 (NS)
19/12/2015,SOUTH INDIA,93.26 (77.55)
12/12/2015,SOUTH INDIA,91.38 (77.71)
05/12/2015,SOUTH INDIA,88.24 (76.53)
28/11/2015,SOUTH INDIA,87.43 (74.98)
21/11/2015,SOUTH INDIA,83.49 (73.07)
14/11/2015,SOUTH INDIA,89.58 (72.59)
07/11/2015,SOUTH INDIA,81.53 (74.87)
31/10/2015,SOUTH INDIA,81.78 (74.14)
24/10/2015,SOUTH INDIA,81.94 (77.41)
17/10/2015,SOUTH INDIA,84.16 (81.76)
10/10/2015,SOUTH INDIA,81.80 (82.28)
03/10/2015,SOUTH INDIA,84.16 (85.43)
26/09/2015,SOUTH INDIA,83.45 (82.23)
19/09/2015,SOUTH INDIA,80.43 (78.51)
12/09/2015,SOUTH INDIA,76.36 (67.66)
05/09/2015,SOUTH INDIA,76.74 (75.51)
29/08/2015,SOUTH INDIA,64.29 (75.44)
22/08/2015,SOUTH INDIA,78.72 (74.57)
15/08/2015,SOUTH INDIA,76.78 (74.53)
08/08/2015,SOUTH INDIA,73.54 (74.00)
01/08/2015,SOUTH INDIA,73.85 (78.03)
25/07/2015,SOUTH INDIA,74.30 (75.61)
18/07/2015,SOUTH INDIA,76.31 (76.42)
11/07/2015,SOUTH INDIA,78.35 (85.99)
04/07/2015,SOUTH INDIA,78.01 (82.64)
27/06/2015,SOUTH INDIA,76.25 (83.37)
20/06/2015,SOUTH INDIA,74.48 (82.94)
