Week Ending/Date,Location,Average_Price
15/07/2023,NORTH INDIA,211.25(220.61)
08/07/2023,NORTH INDIA,212.19(226.84)
01/07/2023,NORTH INDIA,215.29(235.46)
24/06/2023,NORTH INDIA,213.31(234.49)
17/06/2023,NORTH INDIA,213.34(234.80)
10/06/2023,NORTH INDIA,207.93(212.27)
03/06/2023,NORTH INDIA,198.19(196.88)
27/05/2023,NORTH INDIA,192.07(188.35)
20/05/2023,NORTH INDIA,188.24(191.17)
13/05/2023,NORTH INDIA,194.05(191.57)
06/05/2023,NORTH INDIA,185.34(196.33)
29/04/2023,NORTH INDIA,199.22(221.45)
22/04/2023,NORTH INDIA,202.44(244.88)
15/04/2023,NORTH INDIA,200.49(239.03)
08/04/2023,NORTH INDIA,206.44(247.85)
01/04/2023,NORTH INDIA,192.89(153.45)
25/03/2023,NORTH INDIA,152.04(149.09)
18/03/2023,NORTH INDIA,NS(NS)
11/03/2023,NORTH INDIA,141.96(100.59)
04/03/2023,NORTH INDIA,138.17(130.19)
25/02/2023,NORTH INDIA,NS(136.52)
18/02/2023,NORTH INDIA,147.89(134.22)
11/02/2023,NORTH INDIA,141.58(146.49)
04/02/2023,NORTH INDIA,142.13(150.50)
28/01/2023,NORTH INDIA,149.61(142.43)
21/01/2023,NORTH INDIA,147.19(154.62)
14/01/2023,NORTH INDIA,153.97(161.18)
07/01/2023,NORTH INDIA,158.13(165.41)
15/07/2023,SOUTH INDIA,104.57(96.65)
08/07/2023,SOUTH INDIA,105.06(98.07)
01/07/2023,SOUTH INDIA,108.4(97.57)
24/06/2023,SOUTH INDIA,109.04(113.38)
17/06/2023,SOUTH INDIA,108.31(98.87)
10/06/2023,SOUTH INDIA,109.65(102.27)
03/06/2023,SOUTH INDIA,106.67(105.74)
27/05/2023,SOUTH INDIA,111.81(104.85)
20/05/2023,SOUTH INDIA,115.63(104.42)
13/05/2023,SOUTH INDIA,120.95(108.02)
06/05/2023,SOUTH INDIA,118.42(104.44)
29/04/2023,SOUTH INDIA,125.7(110.37)
22/04/2023,SOUTH INDIA,124.96(109.99)
15/04/2023,SOUTH INDIA,124.13(93.11)
08/04/2023,SOUTH INDIA,113.05(105.56)
01/04/2023,SOUTH INDIA,124.24(108.16)
25/03/2023,SOUTH INDIA,128.71(106.58)
18/03/2023,SOUTH INDIA,129.4(106.17)
11/03/2023,SOUTH INDIA,130.83(110.03)
04/03/2023,SOUTH INDIA,132.49(114.55)
25/02/2023,SOUTH INDIA,133.20(117.87)
18/02/2023,SOUTH INDIA,132.32(120.30)
11/02/2023,SOUTH INDIA,134.82(120.77)
04/02/2023,SOUTH INDIA,133.52(119.97)
28/01/2023,SOUTH INDIA,133.52(121.47)
21/01/2023,SOUTH INDIA,131.89(119.00)
14/01/2023,SOUTH INDIA,128.24(116.43)
07/01/2023,SOUTH INDIA,126.39(112.01)
15/07/2023,ALL INDIA,184.87(184.19)
08/07/2023,ALL INDIA,185.6(196.56)
01/07/2023,ALL INDIA,184.77(200.7)
24/06/2023,ALL INDIA,182.61(210.68)
17/06/2023,ALL INDIA,183.02(197.06)
10/06/2023,ALL INDIA,178.00(179.30)
03/06/2023,ALL INDIA,165.81(165.40)
27/05/2023,ALL INDIA,165.55(157.92)
20/05/2023,ALL INDIA,163.27(162.71)
13/05/2023,ALL INDIA,171.43(164.22)
06/05/2023,ALL INDIA,164.09(166.42)
29/04/2023,ALL INDIA,175.58(187.65)
22/04/2023,ALL INDIA,178.97(189.34)
15/04/2023,ALL INDIA,169.25(164.69)
08/04/2023,ALL INDIA,164.67(149.37)
01/04/2023,ALL INDIA,144.65(121.25)
25/03/2023,ALL INDIA,135.05(113.16)
18/03/2023,ALL INDIA,129.4(106.17)
11/03/2023,ALL INDIA,136.32(110.02)
04/03/2023,ALL INDIA,133.22(118.24)
25/02/2023,ALL INDIA,133.20(128.84)
18/02/2023,ALL INDIA,140.55(124.55)
11/02/2023,ALL INDIA,139.53(136.69)
04/02/2023,ALL INDIA,140.07(143.05)
28/01/2023,ALL INDIA,145.90(136.10)
21/01/2023,ALL INDIA,144.23(147.50)
14/01/2023,ALL INDIA,149.50(152.15)
07/01/2023,ALL INDIA,152.23(155.21)
