Week Ending/Date,Location,Average_Price
30/11/2019,ALL INDIA,138.16(148.80)
23/11/2019,ALL INDIA,140.84(144.93)
16/11/2019,ALL INDIA,138.02(145.67)
09/11/2019,ALL INDIA,135.63(148.71)
02/11/2019,ALL INDIA,143.78(143.47)
26/10/2019,ALL INDIA,145.01(144.01)
19/10/2019,ALL INDIA,143.11(106.02)
12/10/2019,ALL INDIA,120.55(143.62)
05/10/2019,ALL INDIA,147.77(145.25)
28/09/2019,ALL INDIA,144.93(145.58)
21/09/2019,ALL INDIA,146.67(145.04)
14/09/2019,ALL INDIA,149.49(147.05)
07/09/2019,ALL INDIA,151.69(147.91)
31/08/2019,ALL INDIA,148.10(148.67)
24/08/2019,ALL INDIA,152.04(148.40)
17/08/2019,ALL INDIA,148.12(148.55)
10/08/2019,ALL INDIA,153.31(150.94)
03/08/2019,ALL INDIA,151.58(149.37)
27/07/2019,ALL INDIA,150.30(149.47)
20/07/2019,ALL INDIA,148.37(148.18)
13/07/2019,ALL INDIA,146.95(148.03)
06/07/2019,ALL INDIA,151.15(148.14)
29/06/2019,ALL INDIA,153.31(148.96)
22/06/2019,ALL INDIA,157.29(147.11)
15/06/2019,ALL INDIA,150.22(143.06)
08/06/2019,ALL INDIA,145.38(138.01)
01/06/2019,ALL INDIA,143.88(136.54)
25/05/2019,ALL INDIA,143.98 (134.98)
18/05/2019,ALL INDIA,142.07(135.69)
11/05/2019,ALL INDIA,143.36(139.31)
04/05/2019,ALL INDIA,149.81(142.53)
27/04/2019,ALL INDIA,144.86(138.23)
20/04/2019,ALL INDIA,143.78(133.54)
13/04/2019,ALL INDIA,137.42(126.81)
06/04/2019,ALL INDIA,128.69(121.97)
30/03/2019,ALL INDIA,117.48(95.08)
23/03/2019,ALL INDIA,113.45(108.42)
16/03/2019,ALL INDIA,110.48(105.75)
09/03/2019,ALL INDIA,113.16(100.18)
02/03/2019,ALL INDIA,112.57 (106.92)
23/02/2019,ALL INDIA,111.34 (106.14)
16/02/2019,ALL INDIA,115.25 (107.91)
09/02/2019,ALL INDIA,118.98 (109.66)
02/02/2019,ALL INDIA,121.96 (114.17)
26/01/2019,ALL INDIA,127.41 (111.59)
19/01/2019,ALL INDIA,130.16 (121.69)
12/01/2019,ALL INDIA,132.53 (123.41)
05/01/2019,ALL INDIA,132.79 (129.31)
