Week Ending/Date,Location,Average_Price
26/11/2011,NORTH INDIA,112.04(122.77)
31/12/2011,NORTH INDIA,108.77(127.77)
24/12/2011,NORTH INDIA,108.57(117.56)
17/12/2011,NORTH INDIA,106.10(116.65)
10/12/2011,NORTH INDIA,110.66(118.28)
03/12/2011,NORTH INDIA,110.62(123.83)
19/11/2011,NORTH INDIA,112.67(124.84)
12/11/2011,NORTH INDIA,114.12(124.40)
05/11/2011,NORTH INDIA,116.72(129.49)
29/10/2011,NORTH INDIA,120.96(126.49)
22/10/2011,NORTH INDIA,115.69(117.10)
15/10/2011,NORTH INDIA,114.85(142.76)
08/10/2011,NORTH INDIA,N.S.(127.17)
01/10/2011,NORTH INDIA,120.70(125.16)
24/09/2011,NORTH INDIA,115.95(127.16)
17/09/2011,NORTH INDIA,116.39(127.20)
10/09/2011,NORTH INDIA,117.92(130.24)
03/09/2011,NORTH INDIA,116.92(128.27)
27/08/2011,NORTH INDIA,118.23(129.90)
20/08/2011,NORTH INDIA,120.23(131.35)
13/08/2011,NORTH INDIA,122.35(130.06)
06/08/2011,NORTH INDIA,122.45(128.42)
30/07/2011,NORTH INDIA,124.95(128.99)
23/07/2011,NORTH INDIA,129.91(126.35)
16/07/2011,NORTH INDIA,134.52(126.77)
09/07/2011,NORTH INDIA,136.76(128.03)
02/07/2011,NORTH INDIA,135.92(127.01)
25/06/2011,NORTH INDIA,134.41(124.90)
18/06/2011,NORTH INDIA,132.61(120.96)
11/06/2011,NORTH INDIA,131.05(117.85)
04/06/2011,NORTH INDIA,128.19(116.15)
28/05/2011,NORTH INDIA,128.38(119.17)
21/05/2011,NORTH INDIA,128.82(116.26)
14/05/2011,NORTH INDIA,128.49(117.45)
07/05/2011,NORTH INDIA,129.22(116.22)
30/04/2011,NORTH INDIA,131.20(114.26)
23/04/2011,NORTH INDIA,117.56(105.15)
16/04/2011,NORTH INDIA,130.66(109.21)
09/04/2011,NORTH INDIA,129.30(93.73)
02/04/2011,NORTH INDIA,73.94(69.90)
26/03/2011,NORTH INDIA,N.S.(N.S.)
19/03/2011,NORTH INDIA,N.S.(N.S.)
12/03/2011,NORTH INDIA,84.92(76.28)
05/03/2011,NORTH INDIA,84.77(82.57)
26/02/2011,NORTH INDIA,85.66(89.36)
19/02/2011,NORTH INDIA,90.36(93.61)
05/02/2011,NORTH INDIA,97.01(96.65)
29/01/2011,NORTH INDIA,104.59(104.85)
22/01/2011,NORTH INDIA,102.57(98.91)
15/01/2011,NORTH INDIA,105.33(95.14)
08/01/2011,NORTH INDIA,106.77(104.30)
01/01/2011,NORTH INDIA,113.00(108.70)
26/11/2011,SOUTH INDIA,68.35(70.31)
31/12/2011,SOUTH INDIA,N.S.(N.S.)
24/12/2011,SOUTH INDIA,70.79(72.56)
17/12/2011,SOUTH INDIA,68.74(72.08)
