Week Ending/Date,Location,Average_Price
27/12/2014,Kolkata,154.00(143.77)
20/12/2014,Kolkata,163.07(143.51)
13/12/2014,Kolkata,162.89(146.96)
06/12/2014,Kolkata,167.18(152.31)
29/11/2014,Kolkata,164.65(153.33)
22/11/2014,Kolkata,164.80(146.15)
15/11/2014,Kolkata,161.67(144.73)
08/11/2014,Kolkata,156.50(144.78)
01/11/2014,Kolkata,153.01(145.11)
25/10/2014,Kolkata,151.69(148.04)
18/10/2014,Kolkata,151.82(NS)
11/10/2014,Kolkata,150.25(148.81)
04/10/2014,Kolkata,NS(148.01)
27/09/2014,Kolkata,149.44(148.10)
20/09/2014,Kolkata,152.43(145.77)
13/09/2014,Kolkata,147.62(145.36)
06/09/2014,Kolkata,151.73(144.05)
30/08/2014,Kolkata,155.34(146.59)
23/08/2014,Kolkata,157.06(146.78)
16/08/2014,Kolkata,161.16(155.04)
09/08/2014,Kolkata,164.98(150.85)
02/08/2014,Kolkata,169.05(147.60)
26/07/2014,Kolkata,176.66(150.47)
19/07/2014,Kolkata,181.20(153.68)
12/07/2014,Kolkata,189.38(157.33)
05/07/2014,Kolkata,186.10(158.62)
28/06/2014,Kolkata,182.85(155.34)
21/06/2014,Kolkata,174.66(148.54)
14/06/2014,Kolkata,166.56(144.87)
07/06/2014,Kolkata,162.49(147.56)
31/05/2014,Kolkata,160.14(149.53)
24/05/2014,Kolkata,160.61(151.69)
17/05/2014,Kolkata,164.01(155.68)
10/05/2014,Kolkata,161.06(153.75)
03/05/2014,Kolkata,167.02(158.93)
26/04/2014,Kolkata,167.68(157.00)
19/04/2014,Kolkata,133.67(156.49)
12/04/2014,Kolkata,162.95(137.72)
05/04/2014,Kolkata,113.96(132.08)
29/03/2014,Kolkata,102.38(NS)
22/03/2014,Kolkata,NS(134.46)
15/03/2014,Kolkata,NS(NS)
08/03/2014,Kolkata,109.66(137.56)
01/03/2014,Kolkata,N.S.(140.62)
22/02/2014,Kolkata,114.99(133.19)
15/02/2014,Kolkata,116.41(128.29)
08/02/2014,Kolkata,119.04(130.35)
01/02/2014,Kolkata,120.33(130.71)
25/01/2014,Kolkata,125.62(139.69)
18/01/2014,Kolkata,129.64(137.50)
11/01/2014,Kolkata,136.13(142.04)
04/01/2014,Kolkata,145.31(144.54)
27/12/2014,Guwahati,126.21(117.81)
20/12/2014,Guwahati,125.90(118.65)
13/12/2014,Guwahati,133.06(121.76)
06/12/2014,Guwahati,133.87(124.54)
29/11/2014,Guwahati,135.22(124.02)
22/11/2014,Guwahati,135.24(126.04)
15/11/2014,Guwahati,140.05(130.55)
08/11/2014,Guwahati,137.04(131.78)
01/11/2014,Guwahati,136.55(130.12)
25/10/2014,Guwahati,136.59(132.51)
18/10/2014,Guwahati,136.25(NS)
11/10/2014,Guwahati,135.50(137.32)
04/10/2014,Guwahati,NS(135.36)
27/09/2014,Guwahati,137.67(131.59)
20/09/2014,Guwahati,135.82(131.85)
13/09/2014,Guwahati,142.00(131.08)
06/09/2014,Guwahati,140.92(129.23)
30/08/2014,Guwahati,145.57(132.27)
23/08/2014,Guwahati,146.97(132.56)
16/08/2014,Guwahati,151.07(134.78)
09/08/2014,Guwahati,152.84(139.61)
02/08/2014,Guwahati,158.57(140.94)
26/07/2014,Guwahati,162.26(142.14)
19/07/2014,Guwahati,165.71(144.93)
12/07/2014,Guwahati,174.07(146.80)
05/07/2014,Guwahati,174.18(148.91)
28/06/2014,Guwahati,177.29(147.02)
21/06/2014,Guwahati,176.29(142.94)
14/06/2014,Guwahati,171.55(141.25)
07/06/2014,Guwahati,163.39(138.74)
31/05/2014,Guwahati,163.76(135.41)
24/05/2014,Guwahati,160.93(141.91)
17/05/2014,Guwahati,158.48(148.31)
10/05/2014,Guwahati,165.04(145.64)
03/05/2014,Guwahati,166.38(151.43)
26/04/2014,Guwahati,159.54(156.28)
19/04/2014,Guwahati,140.78(163.52)
12/04/2014,Guwahati,164.36(157.50)
05/04/2014,Guwahati,131.47(131.67)
29/03/2014,Guwahati,91.43(NS)
22/03/2014,Guwahati,NS(127.98)
15/03/2014,Guwahati,NS(NS)
08/03/2014,Guwahati,109.59(122.39)
01/03/2014,Guwahati,N.S.(N.S.)
22/02/2014,Guwahati,115.12(121.85)
15/02/2014,Guwahati,110.56(120.77)
08/02/2014,Guwahati,105.06(119.13)
01/02/2014,Guwahati,107.47(116.72)
25/01/2014,Guwahati,107.82(116.64)
18/01/2014,Guwahati,107.86(121.70)
11/01/2014,Guwahati,113.20(122.05)
04/01/2014,Guwahati,116.88(130.10)
27/12/2014,Siliguri,123.58(123.35)
20/12/2014,Siliguri,120.92(120.25)
13/12/2014,Siliguri,120.28(125.78)
06/12/2014,Siliguri,120.98(120.67)
29/11/2014,Siliguri,122.26(123.10)
22/11/2014,Siliguri,128.12(126.57)
15/11/2014,Siliguri,128.50(121.57)
08/11/2014,Siliguri,123.03(120.62)
01/11/2014,Siliguri,126.00(117.66)
25/10/2014,Siliguri,119.78(118.36)
18/10/2014,Siliguri,119.85(NS)
11/10/2014,Siliguri,121.34(115.06)
04/10/2014,Siliguri,NS(116.84)
27/09/2014,Siliguri,122.03(117.97)
20/09/2014,Siliguri,124.20(116.66)
13/09/2014,Siliguri,123.96(115.78)
06/09/2014,Siliguri,123.22(113.91)
30/08/2014,Siliguri,121.54(114.81)
23/08/2014,Siliguri,124.24(116.48)
16/08/2014,Siliguri,127.60(115.81)
09/08/2014,Siliguri,129.43(118.32)
02/08/2014,Siliguri,132.00(121.56)
26/07/2014,Siliguri,134.38(123.97)
19/07/2014,Siliguri,138.56(124.85)
12/07/2014,Siliguri,144.10(126.88)
05/07/2014,Siliguri,148.12(128.06)
28/06/2014,Siliguri,154.99(133.01)
21/06/2014,Siliguri,158.51(137.11)
14/06/2014,Siliguri,151.22(139.41)
07/06/2014,Siliguri,143.90(138.86)
31/05/2014,Siliguri,137.38(137.83)
24/05/2014,Siliguri,140.85(134.02)
17/05/2014,Siliguri,138.36(127.96)
10/05/2014,Siliguri,140.12(129.75)
03/05/2014,Siliguri,146.68(130.20)
26/04/2014,Siliguri,145.82(132.53)
19/04/2014,Siliguri,150.23(138.81)
12/04/2014,Siliguri,149.73(144.43)
05/04/2014,Siliguri,148.92(143.98)
29/03/2014,Siliguri,95.63(NS)
22/03/2014,Siliguri,NS(134.72)
15/03/2014,Siliguri,NS(NS)
08/03/2014,Siliguri,95.06(124.68)
01/03/2014,Siliguri,N.S.(N.S.)
22/02/2014,Siliguri,95.60(121.78)
15/02/2014,Siliguri,98.59(116.31)
08/02/2014,Siliguri,105.34(113.36)
01/02/2014,Siliguri,106.67(114.94)
25/01/2014,Siliguri,110.77(112.69)
18/01/2014,Siliguri,113.71(115.51)
11/01/2014,Siliguri,118.12(118.56)
04/01/2014,Siliguri,122.44(121.08)
27/12/2014,Jalpaiguri,NS(NS)
20/12/2014,Jalpaiguri,NS(NS)
13/12/2014,Jalpaiguri,NS(NS)
06/12/2014,Jalpaiguri,NS(NS)
29/11/2014,Jalpaiguri,NS(NS)
22/11/2014,Jalpaiguri,NS(NS)
15/11/2014,Jalpaiguri,NS(NS)
08/11/2014,Jalpaiguri,86.90(83.27)
01/11/2014,Jalpaiguri,99.34(85.00)
25/10/2014,Jalpaiguri,NS(NS)
18/10/2014,Jalpaiguri,NS(NS)
11/10/2014,Jalpaiguri,NS(NS)
04/10/2014,Jalpaiguri,NS(85.65)
27/09/2014,Jalpaiguri,106.27(87.74)
20/09/2014,Jalpaiguri,93.14(85.59)
13/09/2014,Jalpaiguri,106.60(93.50)
06/09/2014,Jalpaiguri,NS(88.22)
30/08/2014,Jalpaiguri,92.99(91.33)
23/08/2014,Jalpaiguri,102.39(91.02)
16/08/2014,Jalpaiguri,103.25(91.10)
09/08/2014,Jalpaiguri,105.93(90.24)
02/08/2014,Jalpaiguri,120.00(92.41)
26/07/2014,Jalpaiguri,114.73(94.78)
19/07/2014,Jalpaiguri,106.06(93.70)
12/07/2014,Jalpaiguri,114.19(101.53)
05/07/2014,Jalpaiguri,117.47(103.42)
28/06/2014,Jalpaiguri,NS(100.64)
21/06/2014,Jalpaiguri,NS(109.64)
14/06/2014,Jalpaiguri,NS(112.13)
07/06/2014,Jalpaiguri,NS(113.50)
31/05/2014,Jalpaiguri,NS(113.96)
24/05/2014,Jalpaiguri,NS(122.20)
17/05/2014,Jalpaiguri,N.S.(N.S)
10/05/2014,Jalpaiguri,N.S.(N.S)
03/05/2014,Jalpaiguri,N.S.(N.S)
26/04/2014,Jalpaiguri,N.S.(138.68)
19/04/2014,Jalpaiguri,N.S.(N.S.)
12/04/2014,Jalpaiguri,N.S.(N.S.)
05/04/2014,Jalpaiguri,N.S.(N.S.)
29/03/2014,Jalpaiguri,N.S.(N.S.)
22/03/2014,Jalpaiguri,N.S.(N.S.)
15/03/2014,Jalpaiguri,N.S.(N.S.)
08/03/2014,Jalpaiguri,N.S.(N.S.)
01/03/2014,Jalpaiguri,N.S.(N.S.)
22/02/2014,Jalpaiguri,N.S.(N.S.)
15/02/2014,Jalpaiguri,N.S.(N.S.)
08/02/2014,Jalpaiguri,N.S.(N.S.)
01/02/2014,Jalpaiguri,N.S.(N.S.)
25/01/2014,Jalpaiguri,N.S.(N.S.)
18/01/2014,Jalpaiguri,N.S.(98.42)
11/01/2014,Jalpaiguri,N.S.(97.68)
04/01/2014,Jalpaiguri,N.S.(99.40)
27/12/2014,mjunction,
20/12/2014,mjunction,
13/12/2014,mjunction,
06/12/2014,mjunction,
29/11/2014,mjunction,
22/11/2014,mjunction,
15/11/2014,mjunction,
08/11/2014,mjunction,
01/11/2014,mjunction,
25/10/2014,mjunction,
18/10/2014,mjunction,
11/10/2014,mjunction,
04/10/2014,mjunction,
27/09/2014,mjunction,
20/09/2014,mjunction,
13/09/2014,mjunction,
06/09/2014,mjunction,
30/08/2014,mjunction,
23/08/2014,mjunction,
16/08/2014,mjunction,
09/08/2014,mjunction,
02/08/2014,mjunction,
26/07/2014,mjunction,
19/07/2014,mjunction,
12/07/2014,mjunction,
05/07/2014,mjunction,
28/06/2014,mjunction,
21/06/2014,mjunction,
14/06/2014,mjunction,
07/06/2014,mjunction,
31/05/2014,mjunction,
24/05/2014,mjunction,
17/05/2014,mjunction,
10/05/2014,mjunction,
03/05/2014,mjunction,
26/04/2014,mjunction,
19/04/2014,mjunction,
12/04/2014,mjunction,
05/04/2014,mjunction,
29/03/2014,mjunction,
22/03/2014,mjunction,
15/03/2014,mjunction,
08/03/2014,mjunction,
01/03/2014,mjunction,
22/02/2014,mjunction,
15/02/2014,mjunction,
08/02/2014,mjunction,
01/02/2014,mjunction,
25/01/2014,mjunction,
18/01/2014,mjunction,
11/01/2014,mjunction,
04/01/2014,mjunction,
27/12/2014,Cochin,NS(NS)
20/12/2014,Cochin,101.03(98.56)
13/12/2014,Cochin,96.27(96.62)
06/12/2014,Cochin,91.82(95.38)
29/11/2014,Cochin,90.26(100.54)
22/11/2014,Cochin,86.00(103.56)
15/11/2014,Cochin,87.08(104.03)
08/11/2014,Cochin,88.71(107.97)
01/11/2014,Cochin,88.88(109.59)
25/10/2014,Cochin,93.57(108.72)
18/10/2014,Cochin,97.69(111.16)
11/10/2014,Cochin,100.06(118.35)
04/10/2014,Cochin,99.47(122.77)
27/09/2014,Cochin,100.46(130.67)
20/09/2014,Cochin,98.45(NS)
13/09/2014,Cochin,NS(128.62)
06/09/2014,Cochin,96.22(128.20)
30/08/2014,Cochin,94.47(125.16)
23/08/2014,Cochin,93.65(121.70)
16/08/2014,Cochin,95.41(123.24)
09/08/2014,Cochin,92.55(123.69)
02/08/2014,Cochin,97.51(117.24)
26/07/2014,Cochin,98.73(116.45)
19/07/2014,Cochin,95.80(113.79)
12/07/2014,Cochin,96.80(109.65)
05/07/2014,Cochin,94.77(109.09)
28/06/2014,Cochin,94.54(109.66)
21/06/2014,Cochin,92.98(109.02)
14/06/2014,Cochin,92.13(108.96)
07/06/2014,Cochin,94.48(111.20)
31/05/2014,Cochin,99.06(113.82)
24/05/2014,Cochin,103.20(110.63)
17/05/2014,Cochin,107.17(107.59)
10/05/2014,Cochin,108.17(108.70)
03/05/2014,Cochin,111.32(117.51)
26/04/2014,Cochin,107.64(124.09)
19/04/2014,Cochin,NS(126.37)
12/04/2014,Cochin,108.60(129.78)
05/04/2014,Cochin,109.34(131.81)
29/03/2014,Cochin,109.19(NS)
22/03/2014,Cochin,107.35(134.62)
15/03/2014,Cochin,106.92(124.30)
08/03/2014,Cochin,107.63(116.86)
01/03/2014,Cochin,108.24(110.03)
22/02/2014,Cochin,111.42(107.89)
15/02/2014,Cochin,111.91(105.71)
08/02/2014,Cochin,109.64(104.55)
01/02/2014,Cochin,109.07(102.89)
25/01/2014,Cochin,106.80(101.43)
18/01/2014,Cochin,112.07(101.62)
11/01/2014,Cochin,110.29(104.11)
04/01/2014,Cochin,100.85(103.70)
27/12/2014,Coonoor,NS(NS)
20/12/2014,Coonoor,68.65(73.19)
13/12/2014,Coonoor,65.53(71.78)
06/12/2014,Coonoor,63.99(72.31)
29/11/2014,Coonoor,62.33(74.34)
22/11/2014,Coonoor,61.42(76.15)
15/11/2014,Coonoor,60.91(74.35)
08/11/2014,Coonoor,62.74(71.71)
01/11/2014,Coonoor,63.44(73.69)
25/10/2014,Coonoor,65.14(77.29)
18/10/2014,Coonoor,69.82(79.37)
11/10/2014,Coonoor,72.99(84.45)
04/10/2014,Coonoor,76.14(86.29)
27/09/2014,Coonoor,76.53(87.94)
20/09/2014,Coonoor,74.67(87.87)
13/09/2014,Coonoor,70.44(87.93)
06/09/2014,Coonoor,66.79(86.68)
30/08/2014,Coonoor,63.04(86.43)
23/08/2014,Coonoor,62.70(84.40)
16/08/2014,Coonoor,62.45(84.85)
09/08/2014,Coonoor,63.93(84.59)
02/08/2014,Coonoor,66.39(85.20)
26/07/2014,Coonoor,65.60(83.93)
19/07/2014,Coonoor,66.66(85.41)
12/07/2014,Coonoor,74.71(87.99)
05/07/2014,Coonoor,73.04(91.00)
28/06/2014,Coonoor,76.27(91.85)
21/06/2014,Coonoor,76.38(91.59)
14/06/2014,Coonoor,75.26(90.54)
07/06/2014,Coonoor,76.43(91.96)
31/05/2014,Coonoor,78.29(92.19)
24/05/2014,Coonoor,80.89(92.33)
17/05/2014,Coonoor,79.82(91.30)
10/05/2014,Coonoor,82.38(93.37)
03/05/2014,Coonoor,80.67(97.28)
26/04/2014,Coonoor,77.30(100.64)
19/04/2014,Coonoor,72.27(102.82)
12/04/2014,Coonoor,72.68(105.02)
05/04/2014,Coonoor,72.24(109.48)
29/03/2014,Coonoor,73.59(109.63)
22/03/2014,Coonoor,76.32(110.75)
15/03/2014,Coonoor,80.85(107.93)
08/03/2014,Coonoor,82.25(104.00)
01/03/2014,Coonoor,82.84(99.83)
22/02/2014,Coonoor,83.28(97.86)
15/02/2014,Coonoor,85.79(98.37)
08/02/2014,Coonoor,84.79(98.71)
01/02/2014,Coonoor,84.47(98.21)
