Week Ending/Date,Location,Average_Price
31/12/2022,Kolkata,180.61(191.56)
24/12/2022,Kolkata,184.51(195.20)
17/12/2022,Kolkata,183.74(192.17)
10/12/2022,Kolkata,192.30(201.17)
03/12/2022,Kolkata,196.36(209.80)
26/11/2022,Kolkata,204.60(224.98)
19/11/2022,Kolkata,206.67(223.46)
12/11/2022,Kolkata,214.24(205.26)
05/11/2022,Kolkata,209.49(209.17)
29/10/2022,Kolkata,225.98(203.09)
22/10/2022,Kolkata,218.39(211.73)
15/10/2022,Kolkata,216.64(NS)
08/10/2022,Kolkata,NS(208.58)
01/10/2022,Kolkata,212.43(210.54)
24/09/2022,Kolkata,215.71(210.30)
17/09/2022,Kolkata,227.83(203.95)
10/09/2022,Kolkata,235.43(204.70)
03/09/2022,Kolkata,245.11(211.73)
27/08/2022,Kolkata,245.61(210.48)
20/08/2022,Kolkata,244.30(220.83)
13/08/2022,Kolkata,245.05(211.27)
06/08/2022,Kolkata,250.88(210.38)
30/07/2022,Kolkata,250.86(213.93)
23/07/2022,Kolkata,240.99(214.17)
16/07/2022,Kolkata,236.69(224.12)
09/07/2022,Kolkata,248.26(229.40)
02/07/2022,Kolkata,257.45(247.99)
25/06/2022,Kolkata,258.02(238.82)
18/06/2022,Kolkata,250.37(236.20)
11/06/2022,Kolkata,212.26(223.94)
04/06/2022,Kolkata,189.99(226.43)
28/05/2022,Kolkata,187.06(NS)
21/05/2022,Kolkata,197.95(221.95)
14/05/2022,Kolkata,197.65(214.24)
07/05/2022,Kolkata,214.26(219.79)
30/04/2022,Kolkata,238.82(206.64)
23/04/2022,Kolkata,241.59(212.06)
16/04/2022,Kolkata,236.80(215.88)
09/04/2022,Kolkata,225.79(195.14)
02/04/2022,Kolkata,NS(NS)
26/03/2022,Kolkata,144.31(145.91)
19/03/2022,Kolkata,NS(NS)
12/03/2022,Kolkata,NS(145.50)
05/03/2022,Kolkata,NS(147.73)
26/02/2022,Kolkata,142.20(156.36)
19/02/2022,Kolkata,NS(167.61)
12/02/2022,Kolkata,148.65(174.30)
05/02/2022,Kolkata,161.20(171.46)
29/01/2022,Kolkata,NS(184.65)
22/01/2022,Kolkata,166.24(181.99)
15/01/2022,Kolkata,175.82(183.20)
08/01/2022,Kolkata,180.49(183.43)
01/01/2022,Kolkata,191.56(187.04)
31/12/2022,Guwahati,155.85(162.42)
24/12/2022,Guwahati,160.73(167.91)
17/12/2022,Guwahati,162.55(175.77)
10/12/2022,Guwahati,172.12(178.89)
03/12/2022,Guwahati,175.94(181.62)
26/11/2022,Guwahati,181.44(185.18)
19/11/2022,Guwahati,184.06(185.48)
12/11/2022,Guwahati,188.18(187.18)
05/11/2022,Guwahati,194.02(186.43)
29/10/2022,Guwahati,195.48(177.17)
22/10/2022,Guwahati,203.47(176.98)
15/10/2022,Guwahati,201.39(NS)
08/10/2022,Guwahati,NS(172.81)
01/10/2022,Guwahati,193.12(180.46)
24/09/2022,Guwahati,195.06(177.76)
17/09/2022,Guwahati,202.41(181.04)
10/09/2022,Guwahati,212.39(174.56)
03/09/2022,Guwahati,216.24(172.35)
27/08/2022,Guwahati,212.01(170.71)
20/08/2022,Guwahati,210.90(173.40)
13/08/2022,Guwahati,211.61(173.36)
06/08/2022,Guwahati,209.95(175.63)
30/07/2022,Guwahati,215.11(180.71)
23/07/2022,Guwahati,207.12(183.67)
16/07/2022,Guwahati,205.16(195.69)
09/07/2022,Guwahati,208.70(207.14)
02/07/2022,Guwahati,213.37(225.96)
25/06/2022,Guwahati,216.62(230.82)
18/06/2022,Guwahati,224.31(234.00)
11/06/2022,Guwahati,208.38(233.97)
04/06/2022,Guwahati,189.27(226.96)
28/05/2022,Guwahati,180.88(223.07)
21/05/2022,Guwahati,180.30(217.89)
14/05/2022,Guwahati,185.60(211.57)
07/05/2022,Guwahati,194.29(204.12)
30/04/2022,Guwahati,215.41(197.68)
23/04/2022,Guwahati,256.67(199.02)
16/04/2022,Guwahati,272.04(NS)
09/04/2022,Guwahati,242.09(231.06)
02/04/2022,Guwahati,130.15(157.20)
26/03/2022,Guwahati,NS(NS)
19/03/2022,Guwahati,NS(NS)
12/03/2022,Guwahati,NS(149.59)
05/03/2022,Guwahati,132.14(NS)
26/02/2022,Guwahati,NS(158.10)
19/02/2022,Guwahati,135.50(145.83)
12/02/2022,Guwahati,141.80(147.65)
05/02/2022,Guwahati,148.10(156.74)
29/01/2022,Guwahati,149.06(160.29)
22/01/2022,Guwahati,148.01(164.85)
15/01/2022,Guwahati,151.42(168.27)
08/01/2022,Guwahati,153.81(167.99)
01/01/2022,Guwahati,162.42(164.08)
31/12/2022,Siliguri,154.78(165.34)
24/12/2022,Siliguri,158.95(172.21)
17/12/2022,Siliguri,166.57(178.90)
10/12/2022,Siliguri,172.28(179.26)
03/12/2022,Siliguri,169.76(169.49)
26/11/2022,Siliguri,167.87(170.54)
19/11/2022,Siliguri,170.99(180.46)
12/11/2022,Siliguri,172.92(186.85)
05/11/2022,Siliguri,179.15(190.14)
29/10/2022,Siliguri,184.07(176.53)
22/10/2022,Siliguri,185.36(175.62)
15/10/2022,Siliguri,181.29(NS)
08/10/2022,Siliguri,NS(153.22)
01/10/2022,Siliguri,175.35(161.56)
24/09/2022,Siliguri,169.95(161.88)
17/09/2022,Siliguri,173.07(164.62)
10/09/2022,Siliguri,182.92(168.68)
03/09/2022,Siliguri,185.75(169.57)
27/08/2022,Siliguri,182.06(173.78)
20/08/2022,Siliguri,181.52(169.84)
13/08/2022,Siliguri,187.41(169.29)
06/08/2022,Siliguri,188.79(178.66)
30/07/2022,Siliguri,188.67(177.25)
23/07/2022,Siliguri,181.92(185.05)
16/07/2022,Siliguri,180.06(181.51)
09/07/2022,Siliguri,187.17(181.19)
02/07/2022,Siliguri,198.41(192.22)
25/06/2022,Siliguri,203.85(203.53)
18/06/2022,Siliguri,207.27(214.41)
11/06/2022,Siliguri,202.03(221.68)
04/06/2022,Siliguri,191.63(217.32)
28/05/2022,Siliguri,180.78(211.23)
21/05/2022,Siliguri,174.14(207.44)
14/05/2022,Siliguri,175.92(203.21)
07/05/2022,Siliguri,184.57(198.30)
30/04/2022,Siliguri,203.41(198.32)
23/04/2022,Siliguri,229.12(209.78)
16/04/2022,Siliguri,227.47(211.39)
09/04/2022,Siliguri,265.10(213.18)
02/04/2022,Siliguri,178.71(NS)
26/03/2022,Siliguri,NS(169.16)
19/03/2022,Siliguri,NS(NS)
12/03/2022,Siliguri,NS(NS)
05/03/2022,Siliguri,NS(NS)
26/02/2022,Siliguri,121.50(NS)
19/02/2022,Siliguri,NS(150.80)
12/02/2022,Siliguri,NS(151.70)
05/02/2022,Siliguri,129.89(148.68)
29/01/2022,Siliguri,139.98(152.18)
22/01/2022,Siliguri,146.52(160.07)
15/01/2022,Siliguri,152.10(163.66)
08/01/2022,Siliguri,155.39(167.60)
01/01/2022,Siliguri,165.34(168.57)
31/12/2022,Jalpaiguri,NS(NS)
24/12/2022,Jalpaiguri,NS(NS)
17/12/2022,Jalpaiguri,NS(NS)
10/12/2022,Jalpaiguri,NS(NS)
03/12/2022,Jalpaiguri,NS(NS)
26/11/2022,Jalpaiguri,NS(NS)
19/11/2022,Jalpaiguri,NS(NS)
12/11/2022,Jalpaiguri,NS(NS)
05/11/2022,Jalpaiguri,NS(NS)
29/10/2022,Jalpaiguri,NS(NS)
22/10/2022,Jalpaiguri,NS(NS)
15/10/2022,Jalpaiguri,NS(NS)
08/10/2022,Jalpaiguri,NS(NS)
01/10/2022,Jalpaiguri,NS(NS)
24/09/2022,Jalpaiguri,NS(NS)
17/09/2022,Jalpaiguri,NS(NS)
10/09/2022,Jalpaiguri,NS(NS)
03/09/2022,Jalpaiguri,NS(NS)
27/08/2022,Jalpaiguri,NS(NS)
20/08/2022,Jalpaiguri,NS(NS)
13/08/2022,Jalpaiguri,NS(NS)
06/08/2022,Jalpaiguri,NS(NS)
30/07/2022,Jalpaiguri,NS(NS)
23/07/2022,Jalpaiguri,NS(NS)
16/07/2022,Jalpaiguri,NS(NS)
09/07/2022,Jalpaiguri,NS(NS)
02/07/2022,Jalpaiguri,NS(NS)
25/06/2022,Jalpaiguri,NS(NS)
18/06/2022,Jalpaiguri,NS(NS)
11/06/2022,Jalpaiguri,NS(NS)
04/06/2022,Jalpaiguri,NS(NS)
28/05/2022,Jalpaiguri,NS(NS)
21/05/2022,Jalpaiguri,NS(NS)
14/05/2022,Jalpaiguri,NS(NS)
07/05/2022,Jalpaiguri,NS(NS)
30/04/2022,Jalpaiguri,NS(NS)
23/04/2022,Jalpaiguri,NS(NS)
16/04/2022,Jalpaiguri,NS(NS)
09/04/2022,Jalpaiguri,NS(NS)
02/04/2022,Jalpaiguri,NS(NS)
26/03/2022,Jalpaiguri,NS(NS)
19/03/2022,Jalpaiguri,NS(NS)
12/03/2022,Jalpaiguri,NS(NS)
05/03/2022,Jalpaiguri,NS(NS
26/02/2022,Jalpaiguri,NS(NS)
19/02/2022,Jalpaiguri,NS(NS)
12/02/2022,Jalpaiguri,NS(NS)
05/02/2022,Jalpaiguri,NS(NS)
29/01/2022,Jalpaiguri,NS(NS)
22/01/2022,Jalpaiguri,NS(NS)
15/01/2022,Jalpaiguri,NS(NS)
08/01/2022,Jalpaiguri,NS(NS)
01/01/2022,Jalpaiguri,NS(NS)
31/12/2022,mjunction,123.40(144.13)
24/12/2022,mjunction,148.94(158.49)
17/12/2022,mjunction,131.39(160.55)
10/12/2022,mjunction,153.94(143.40)
03/12/2022,mjunction,141.25(136.55)
26/11/2022,mjunction,160.96(148.79)
19/11/2022,mjunction,NS(131.28)
12/11/2022,mjunction,147.10(138.88)
05/11/2022,mjunction,NS(145.62)
29/10/2022,mjunction,158.58(140.03)
22/10/2022,mjunction,120.93(NS)
15/10/2022,mjunction,157.05(149.51)
08/10/2022,mjunction,NS(147.83)
01/10/2022,mjunction,176.93(116.82)
