Week Ending/Date,Location,Average_Price
15/07/2023,Kolkata,235.72(236.89)
08/07/2023,Kolkata,238.82(248.26)
01/07/2023,Kolkata,241.71(257.45)
24/06/2023,Kolkata,235.75(258.02)
17/06/2023,Kolkata,236.22(250.37)
10/06/2023,Kolkata,225.96(212.26)
03/06/2023,Kolkata,199.47(189.99)
27/05/2023,Kolkata,186.28(187.06)
20/05/2023,Kolkata,183.69(197.95)
13/05/2023,Kolkata,194.3(197.65)
06/05/2023,Kolkata,189.32(214.26)
29/04/2023,Kolkata,200.11(238.82)
22/04/2023,Kolkata,197.09(241.59)
15/04/2023,Kolkata,184.54(236.8)
08/04/2023,Kolkata,199.49(225.79)
01/04/2023,Kolkata,NS(NS)
25/03/2023,Kolkata,149.89(144.31)
18/03/2023,Kolkata,NS(NS)
11/03/2023,Kolkata,140.14(NS)
04/03/2023,Kolkata,149.57(NS)
25/02/2023,Kolkata,NS(142.2)
18/02/2023,Kolkata,153.26(NS)
11/02/2023,Kolkata,148.58(148.65)
04/02/2023,Kolkata,148.16(161.20)
28/01/2023,Kolkata,153.55(NS)
21/01/2023,Kolkata,152.02(166.24)
14/01/2023,Kolkata,162.08(175.82)
07/01/2023,Kolkata,167.96(180.49)
15/07/2023,Guwahati,213.6(205.16)
08/07/2023,Guwahati,215.23(208.7)
01/07/2023,Guwahati,213.56(213.37)
24/06/2023,Guwahati,213.03(213.88)
17/06/2023,Guwahati,217.54(214.66)
10/06/2023,Guwahati,215.78(199.63)
03/06/2023,Guwahati,206.53(183.57)
27/05/2023,Guwahati,193.01(176.16)
20/05/2023,Guwahati,183.62(178.9)
13/05/2023,Guwahati,190.91(184.87)
06/05/2023,Guwahati,193.24(196.4)
29/04/2023,Guwahati,200.93(216.77)
22/04/2023,Guwahati,213.97(252.43)
15/04/2023,Guwahati,222.77(277.84)
08/04/2023,Guwahati,215.23(249.70)
01/04/2023,Guwahati,171.99(126.44)
25/03/2023,Guwahati,139.38(NS)
18/03/2023,Guwahati,NS(NS)
11/03/2023,Guwahati,135.90(NS)
04/03/2023,Guwahati,134.52(129.76)
25/02/2023,Guwahati,NS(NS)
18/02/2023,Guwahati,139.48(134.08)
