Week Ending/Date,Location,Average_Price
29/12/2012,Kolkata,150.02(122.94)
22/12/2012,Kolkata,150.92(122.48)
15/12/2012,Kolkata,154.59(119.60)
08/12/2012,Kolkata,156.91(124.39)
01/12/2012,Kolkata,157.58(127.73)
24/11/2012,Kolkata,158.64(124.70)
17/11/2012,Kolkata,156.87(126.68)
10/11/2012,Kolkata,156.08(129.00)
03/11/2012,Kolkata,152.76(130.44)
27/10/2012,Kolkata,N.S.(131.43)
20/10/2012,Kolkata,155.24(129.89)
13/10/2012,Kolkata,157.81(135.17)
06/10/2012,Kolkata,376.15(N.S.)
29/09/2012,Kolkata,157.49(139.56)
22/09/2012,Kolkata,159.36(133.90)
15/09/2012,Kolkata,167.08(131.82)
08/09/2012,Kolkata,166.75(133.12)
01/09/2012,Kolkata,169.18(132.88)
25/08/2012,Kolkata,168.91(134.38)
18/08/2012,Kolkata,176.37(135.08)
11/08/2012,Kolkata,168.84(140.09)
04/08/2012,Kolkata,167.87(138.40)
28/07/2012,Kolkata,168.74(138.34)
21/07/2012,Kolkata,169.66(145.3)
14/07/2012,Kolkata,169.99(149.01)
07/07/2012,Kolkata,171.12(141.42)
30/06/2012,Kolkata,167.45(139.03)
23/06/2012,Kolkata,173.06(136.89)
16/06/2012,Kolkata,174.01(134.56)
09/06/2012,Kolkata,180.20(131.63)
02/06/2012,Kolkata,180.4(127.82)
26/05/2012,Kolkata,177.46(129.87)
19/05/2012,Kolkata,170.32(133.71)
12/05/2012,Kolkata,167.61(133.02)
05/05/2012,Kolkata,169.35(135.19)
28/04/2012,Kolkata,157.14(140.64)
21/04/2012,Kolkata,119.86(112.52)
14/04/2012,Kolkata,120.43(130.97)
07/04/2012,Kolkata,97.99(125.62)
31/03/2012,Kolkata,85.11(75.18)
24/03/2012,Kolkata,N.S.(N.S.)
17/03/2012,Kolkata,NS (NS)
10/03/2012,Kolkata,88.25(94.66)
03/03/2012,Kolkata,92.24(86.14)
25/02/2012,Kolkata,98.94(92.48)
18/02/2012,Kolkata,102.75(98.26)
11/02/2012,Kolkata,106.55(104.73)
04/02/2012,Kolkata,107.62(109.35)
28/01/2012,Kolkata,110.58(112.92)
21/01/2012,Kolkata,111.68(115.79)
14/01/2012,Kolkata,118.12(117.73)
07/01/2012,Kolkata,120.30(118.88)
29/12/2012,Guwahati,131.47(97.88)
22/12/2012,Guwahati,133.94(97.97)
