Week Ending/Date,Location,Average_Price
25/12/2021,Kolkata,195.83(192.39)
18/12/2021,Kolkata,194.32(188.48)
11/12/2021,Kolkata,205.41(189.03)
04/12/2021,Kolkata,209.99(194.39)
27/11/2021,Kolkata,223.21(199.99)
20/11/2021,Kolkata,221.53(205.67)
13/11/2021,Kolkata,209.18(222.00)
06/11/2021,Kolkata,212.39(228.66)
30/10/2021,Kolkata,207.96(NS)
23/10/2021,Kolkata,217.22(242.12)
16/10/2021,Kolkata,NS(251.78)
09/10/2021,Kolkata,217.03(265.33)
02/10/2021,Kolkata,220.10(271.71)
25/09/2021,Kolkata,223.11(277.78)
18/09/2021,Kolkata,216.13(281.87)
11/09/2021,Kolkata,218.92(NS)
04/09/2021,Kolkata,220.59(291.04)
28/08/2021,Kolkata,219.09(300.10)
21/08/2021,Kolkata,227.99(307.42)
14/08/2021,Kolkata,220.66(308.75)
07/08/2021,Kolkata,221.64(307.12)
31/07/2021,Kolkata,224.17(295.89)
24/07/2021,Kolkata,228.85(297.63)
17/07/2021,Kolkata,237.55(301.04)
10/07/2021,Kolkata,242.19(298.71)
03/07/2021,Kolkata,261.60(298.54)
26/06/2021,Kolkata,255.38(272.59)
19/06/2021,Kolkata,251.80(275.63)
12/06/2021,Kolkata,235.30(250.54)
05/06/2021,Kolkata,240.96(235.11)
29/05/2021,Kolkata,NS(NS)
22/05/2021,Kolkata,235.47(NS)
15/05/2021,Kolkata,228.46(135.40)
05/05/2021,Kolkata,231.55(NS)
01/05/2021,Kolkata,223.69(NS)
24/04/2021,Kolkata,226.63(NS)
17/04/2021,Kolkata,224.79(NS)
10/04/2021,Kolkata,203.98(NS)
03/04/2021,Kolkata,NS(NS)
27/03/2021,Kolkata,148.74(NS)
20/03/2021,Kolkata,NS(104.29)
13/03/2021,Kolkata,145.50(90.82)
06/03/2021,Kolkata,147.73(101.49)
27/02/2021,Kolkata,157.71(103.45)
20/02/2021,Kolkata,170.57(109.64)
13/02/2021,Kolkata,174.16(111.38)
06/02/2021,Kolkata,174.91(118.72)
30/01/2021,Kolkata,190.21(128.94)
23/01/2021,Kolkata,190.96(130.25)
16/01/2021,Kolkata,190.95(134.41)
09/01/2021,Kolkata,190.74(143.46)
02/01/2021,Kolkata,195.23(152.40)
25/12/2021,Guwahati,167.79(161.05)
18/12/2021,Guwahati,173.40(157.83)
11/12/2021,Guwahati,178.38(166.13)
04/12/2021,Guwahati,180.89(164.13)
27/11/2021,Guwahati,182.19(169.10)
20/11/2021,Guwahati,183.41(176.59)
13/11/2021,Guwahati,184.73(186.64)
06/11/2021,Guwahati,185.91(191.78)
30/10/2021,Guwahati,177.68(205.16)
23/10/2021,Guwahati,175.53(214.55)
16/10/2021,Guwahati,NS(227.08)
09/10/2021,Guwahati,173.90(239.35)
02/10/2021,Guwahati,178.72(257.21)
25/09/2021,Guwahati,177.37(264.36)
18/09/2021,Guwahati,179.12(274.38)
11/09/2021,Guwahati,176.46(280.73)
04/09/2021,Guwahati,173.38(288.54)
28/08/2021,Guwahati,171.89(297.03)
21/08/2021,Guwahati,174.17(295.12)
14/08/2021,Guwahati,174.60(296.88)
07/08/2021,Guwahati,176.55(287.86)
31/07/2021,Guwahati,181.72(278.31)
24/07/2021,Guwahati,184.85(NS)
17/07/2021,Guwahati,196.28(283.53)
10/07/2021,Guwahati,207.64(NS)
03/07/2021,Guwahati,227.35(273.53)
26/06/2021,Guwahati,232.34(265.12)
19/06/2021,Guwahati,235.06(253.01)
12/06/2021,Guwahati,234.03(231.18)
05/06/2021,Guwahati,226.91(216.35)
29/05/2021,Guwahati,223.36(198.29)
22/05/2021,Guwahati,218.16(199.08)
15/05/2021,Guwahati,211.75(222.01)
05/05/2021,Guwahati,204.45(150.50)
01/05/2021,Guwahati,198.18(217.56)
24/04/2021,Guwahati,199.46(111.34)
17/04/2021,Guwahati,NS(NS)
10/04/2021,Guwahati,231.33(NS)
03/04/2021,Guwahati,157.33(NS)
27/03/2021,Guwahati,NS(NS)
20/03/2021,Guwahati,NS(82.62)
13/03/2021,Guwahati,149.69(NS)
06/03/2021,Guwahati,NS(86.14)
27/02/2021,Guwahati,158.58(89.03)
20/02/2021,Guwahati,146.18(86.02)
13/02/2021,Guwahati,148.15(92.23)
06/02/2021,Guwahati,157.00(99.91)
30/01/2021,Guwahati,160.65(106.67)
23/01/2021,Guwahati,165.06(112.20)
16/01/2021,Guwahati,168.51(118.91)
09/01/2021,Guwahati,168.22(128.25)
02/01/2021,Guwahati,164.42(132.38)
25/12/2021,Siliguri,172.21(164.48)
18/12/2021,Siliguri,178.90(160.59)
11/12/2021,Siliguri,179.26(157.84)
04/12/2021,Siliguri,169.49(158.00)
27/11/2021,Siliguri,170.54(156.82)
20/11/2021,Siliguri,180.46(162.12)
13/11/2021,Siliguri,186.85(174.94)
06/11/2021,Siliguri,190.14(194.98)
30/10/2021,Siliguri,176.53(NS)
23/10/2021,Siliguri,175.62(208.57)
16/10/2021,Siliguri,NS(211.91)
09/10/2021,Siliguri,153.22(224.61)
02/10/2021,Siliguri,161.56(239.57)
25/09/2021,Siliguri,161.88(247.18)
18/09/2021,Siliguri,164.62(251.40)
11/09/2021,Siliguri,168.68(253.80)
04/09/2021,Siliguri,169.57(255.01)
28/08/2021,Siliguri,173.78(248.69)
21/08/2021,Siliguri,169.84(245.22)
14/08/2021,Siliguri,169.29(246.81)
07/08/2021,Siliguri,178.66(251.87)
31/07/2021,Siliguri,177.25(246.18)
24/07/2021,Siliguri,185.05(241.01)
17/07/2021,Siliguri,181.51(236.66)
10/07/2021,Siliguri,181.19(231.40)
03/07/2021,Siliguri,192.22(228.76)
26/06/2021,Siliguri,203.59(226.24)
19/06/2021,Siliguri,214.41(219.99)
12/06/2021,Siliguri,221.68(207.24)
05/06/2021,Siliguri,217.32(202.48)
29/05/2021,Siliguri,211.23(180.23)
22/05/2021,Siliguri,207.44(195.66)
15/05/2021,Siliguri,203.21(188.64)
05/05/2021,Siliguri,198.30(209.05)
01/05/2021,Siliguri,198.32(204.25)
24/04/2021,Siliguri,209.78(129.50)
17/04/2021,Siliguri,211.39(NS)
10/04/2021,Siliguri,213.18(NS)
03/04/2021,Siliguri,NS(NS)
27/03/2021,Siliguri,169.16(NS)
20/03/2021,Siliguri,NS(NS)
13/03/2021,Siliguri,NS(NS)
06/03/2021,Siliguri,NS(91.25)
27/02/2021,Siliguri,NS(NS)
20/02/2021,Siliguri,150.80(96.62)
13/02/2021,Siliguri,151.70(97.72)
06/02/2021,Siliguri,148.68(100.12)
30/01/2021,Siliguri,152.18(105.55)
23/01/2021,Siliguri,160.07(114.95)
16/01/2021,Siliguri,163.66(120.51)
09/01/2021,Siliguri,167.6(125.32)
02/01/2021,Siliguri,168.57(133.67)
25/12/2021,Jalpaiguri,NS(NS)
18/12/2021,Jalpaiguri,NS(NS)
11/12/2021,Jalpaiguri,NS(NS)
04/12/2021,Jalpaiguri,NS(NS)
27/11/2021,Jalpaiguri,NS(NS)
20/11/2021,Jalpaiguri,NS(NS)
13/11/2021,Jalpaiguri,NS(NS)
06/11/2021,Jalpaiguri,NS(NS)
30/10/2021,Jalpaiguri,NS(NS)
23/10/2021,Jalpaiguri,NS(NS)
16/10/2021,Jalpaiguri,NS(NS)
09/10/2021,Jalpaiguri,NS(NS)
02/10/2021,Jalpaiguri,NS(NS)
25/09/2021,Jalpaiguri,NS(NS)
18/09/2021,Jalpaiguri,NS(NS)
11/09/2021,Jalpaiguri,NS(NS)
04/09/2021,Jalpaiguri,NS(NS)
28/08/2021,Jalpaiguri,NS(NS)
21/08/2021,Jalpaiguri,NS(NS)
14/08/2021,Jalpaiguri,NS(NS)
07/08/2021,Jalpaiguri,NS(NS)
31/07/2021,Jalpaiguri,NS(NS)
24/07/2021,Jalpaiguri,NS(NS)
17/07/2021,Jalpaiguri,NS(NS)
10/07/2021,Jalpaiguri,NS(NS)
03/07/2021,Jalpaiguri,NS(NS)
26/06/2021,Jalpaiguri,NS(NS)
19/06/2021,Jalpaiguri,NS(NS)
12/06/2021,Jalpaiguri,NS(NS)
05/06/2021,Jalpaiguri,NS(NS)
29/05/2021,Jalpaiguri,NS(NS)
22/05/2021,Jalpaiguri,NS(NS)
15/05/2021,Jalpaiguri,NS(NS)
05/05/2021,Jalpaiguri,NS(NS)
01/05/2021,Jalpaiguri,NS(NS)
24/04/2021,Jalpaiguri,NS(NS)
17/04/2021,Jalpaiguri,NS(NS)
10/04/2021,Jalpaiguri,NS(NS)
03/04/2021,Jalpaiguri,NS(NS)
27/03/2021,Jalpaiguri,NS(NS)
20/03/2021,Jalpaiguri,NS(NS)
13/03/2021,Jalpaiguri,NS(NS)
06/03/2021,Jalpaiguri,NS(NS)
