0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
28/12/2019,140.11(141.50),103.30(88.46),136.99(140.23)
21/12/2019,142.45(144.26),91.02(105.02),132.22(136.37)
14/12/2019,144.62(147.09),89.80(105.83),130.20(138.88)
07/12/2019,144.89(149.38),90.40(109.38),134.63(142.55)
30/11/2019,144.03(152.47),90.69(109.27),134.55(145.12)
23/11/2019,146.05(150.44),91.90(108.99),136.10(142.14)
16/11/2019,144.56(150.63),89.02(107.59),133.93(142.39)
09/11/2019,144.12(150.60),87.99(111.74),130.73(143.71)
02/11/2019,146.88(149.21),89.17(105.00),136.70(140.38)
26/10/2019,149.51(150.40),89.63(102.10),139.09(140.84)
19/10/2019,146.83(NS),92.85(103.66),138.09(103.66)
12/10/2019,135.89(149.09),93.05(103.09),119.94(140.75)
05/10/2019,158.80(148.21),93.99(102.68),139.47(141.33)
28/09/2019,147.06(147.20),94.97(104.81),139.40(141.65)
21/09/2019,147.90(148.68),93.69(108.17),139.11(141.70)
14/09/2019,149.97(150.78),83.41(104.41),142.93(143.48)
07/09/2019,155.69(152.34),90.82(101.30),145.63(144.80)
31/08/2019,152.47(152.97),90.01(106.42),142.21(145.43)
24/08/2019,154.69(152.66),91.14(90.57),145.16(144.40)
17/08/2019,154.24(155.09),87.05(97.38),140.34(143.68)
10/08/2019,160.44(158.08),87.88(92.83),145.93(146.90)
03/08/2019,160.30(159.97),88.91(93.41),143.52(145.84)
27/07/2019,160.18(161.05),86.18(91.53),141.50(145.36)
20/07/2019,160.14(161.80),85.94(88.58),140.32(142.93)
13/07/2019,157.03(160.99),86.02(89.60),139.17(142.39)
06/07/2019,158.24(162.26),92.27(86.93),141.35(141.30)
29/06/2019,156.86(165.89),95.76(87.32),142.01(142.60)
22/06/2019,160.18(164.09),99.88(88.63),145.84(141.59)
15/06/2019,153.80(156.02),101.37(89.16),140.78(137.19)
08/06/2019,148.48(151.75),102.19(88.57),136.77(131.74)
01/06/2019,143.94(151.18),104.45(88.41),133.61(129.96)
25/05/2019,142.76 (148.75),103.81 (87.79),133.47 (128.60)
18/05/2019,142.05(149.43),105.98(90.03),132.44(128.79)
11/05/2019,143.47(149.35),107.66(93.89),132.39(129.82)
04/05/2019,148.00(148.86),107.85(98.95),137.02(132.36)
27/04/2019,150.17(152.22),108.96(100.22),136.93(134.41)
20/04/2019,157.41(151.98),99.03(103.69),139.43(130.69)
13/04/2019,159.87(144.86),108.05(101.77),135.18(125.09)
06/04/2019,144.10(146.44),108.00(103.23),126.50(118.72)
30/03/2019,128.15(96.47),109.54(92.73),116.03(94.81)
23/03/2019,111.14(99.48),108.95(104.14),109.80(102.22)
16/03/2019,107.51(NS),109.36(103.33),108.54(103.33)
09/03/2019,114.15 (95.27),108.64(102.81),111.80 (99.00)
02/03/2019,112.44 (105.67),108.36 (102.59),111.22 (104.52)
23/02/2019,111.16 (103.66),106.81 (104.13),110.00 (103.78)
16/02/2019,116.16 (106.88),106.93 (103.89),113.96 (106.42)
09/02/2019,120.34 (108.30),107.81 (103.85),117.64 (107.50)
02/02/2019,123.45 (113.31),110.36 (102.62),120.68 (111.32)
26/01/2019,129.03 (114.86),110.04 (99.12),124.59 (111.09)
19/01/2019,132.20 (125.22),109.60 (97.20),127.28 (119.58)
12/01/2019,135.08 (127.52),106.59 (97.74),129.04 (121.19)
05/01/2019,138.06 (134.82),105.20 (94.84),130.85 (127.16)
