0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
30/12/2017,139.21 (127.05),65.60 (99.14),137.50 (126.18)
23/12/2017,139.79 (134.58),90.45 (108.16),130.51 (130.11)
16/12/2017,142.40 (135.19),89.89 (106.17),133.04 (130.10)
09/12/2017,142.67 (135.85),87.39 (104.47),132.80 (130.10)
02/12/2017,144.72 (137.96),86.71 (103.90),134.52 (131.58)
25/11/2017,145.73 (140.89),87.33 (103.00),134.82 (133.52)
18/11/2017,144.48 (139.67),86.87 (102.10),133.20 (132.47)
11/11/2017,145.66 (141.47),87.94 (103.05),133.42 (133.61)
04/11/2017,145.70 (140.22),87.23 (101.95),133.91 (131.87)
28/10/2017,147.24 (138.22),85.75 (105.11),134.50 (135.08)
21/10/2017,150.38 (144.58),110.17 (101.82),146.61 (134.02)
14/10/2017,148.83 (NS),90.04 (101.72),139.70 (101.72)
07/10/2017,145.47 (137.26),86.39 (101.20),133.74 (129.50)
30/09/2017,NS (138.78),86.18 (101.93),86.18 (131.62)
23/09/2017,148.24 (139.92),84.06 (101.52),135.90 (132.22)
16/09/2017,143.03 (139.36),80.96 (97.10),129.85 (134.22)
09/09/2017,143.25 (140.71),69.00 (101.14),130.91 (132.77)
02/09/2017,144.02 (141.16),78.15 (99.17),129.70 (132.64)
26/08/2017,147.57 (140.37),79.34 (98.52),133.72 (131.81)
19/08/2017,149.11 (141.48),79.29 (96.75),134.48 (132.05)
12/08/2017,147.38 (143.09),84.96 (93.58),135.40 (131.62)
05/08/2017,145.69 (146.30),84.05 (92.55),130.89 (133.18)
29/07/2017,146.26 (147.08),83.99 (94.64),131.56 (135.49)
22/07/2017,147.95 (150.26),80.77 (92.60),129.64 (140.00)
15/07/2017,146.90 (155.67),87.57 (94.55),136.10 (143.24)
08/07/2017,151.10 (153.28),98.91 (95.71),143.32 (141.06)
01/07/2017,150.71 (155.54),84.65 (98.20),134.98 (141.65)
24/06/2017,153.89 (154.02),86.98 (100.24),135.26 (139.93)
17/06/2017,153.94 (154.22),87.82 (103.26),133.94 (140.60)
10/06/2017,145.84 (148.98),88.13 (104.27),126.34 (137.19)
03/06/2017,137.62 (145.28),89.46(102.35),122.46(133.29)
27/05/2017,135.39 (139.33),93.91 (104.19),121.90 (130.35)
20/05/2017,139.24 (137.84),98.20 (103.26),124.71 (128.96)
13/05/2017,142.62 (140.99),97.40 (104.92),123.92 (131.19)
06/05/2017,142.28 (136.69),98.15(103.49),124.09(127.68)
29/04/2017,149.69(146.07),104.34 (102.14),133.65(132.93)
22/04/2017,145.68 (146.29),113.18 (100.90),132.90 (131.34)
15/04/2017,141.98 (153.77),104.29 (102.13),127.35 (131.33)
08/04/2017,124.34 (159.09),116.17 (101.62),120.15 (129.65)
01/04/2017,114.71 (133.97),117.03 (101.31),116.11 (113.34)
25/03/2017,101.96 (NS),116.47 (89.94),110.41 (89.94)
18/03/2017,107.42 (111.62),116.33(98.51),110.77 (101.92)
11/03/2017,107.85 (105.35),117.46 (97.84),110.98 (100.21)
04/03/2017,106.37 (102.43),118.95 (101.02),109.36 (101.37)
25/02/2017,110.35 (109.09),116.54 (106.22),111.95 (107.49)
18/02/2017,110.32 (111.90),115.80 (110.31),111.35 (111.26)
11/02/2017,110.95 (111.35),114.37 (111.56),111.46 (111.41)
04/02/2017,112.87 (112.20),112.38 (109.29),112.79 (111.53)
28/01/2017,115.90 (116.26),111.21 (108.12),115.06 (114.56)
21/01/2017,123.01 (120.22),111.18 (102.91),120.74 (116.92)
14/01/2017,124.87 (128.91),110.38 (102.34),122.11 (122.77)
07/01/2017,129.46 (132.67),109.15 (96.65),125.48 (125.75)
