0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
30/12/2017,141.57 (127.22),65.60 (99.14),139.88 (126.35)
23/12/2017,142.79 (139.60),92.69 (110.39),133.24 (134.61)
16/12/2017,145.09 (140.26),92.47 (108.13),135.43 (134.59)
09/12/2017,146.63 (140.76),89.80 (107.16),136.25 (134.44)
02/12/2017,148.26 (142.91),88.81 (106.36),137.57 (135.93)
25/11/2017,149.70 (145.47),90.01 (105.45),137.47 (137.55)
18/11/2017,149.51 (144.70),89.67 (104.26),137.71 (136.93)
11/11/2017,152.24 (147.44),90.46 (106.05),139.19 (138.90)
04/11/2017,149.70 (144.96),89.89 (104.18),137.43 (136.03)
28/10/2017,152.47 (143.33),88.51 (108.86),139.27 (139.97)
21/10/2017,156.57 (152.28),114.11 (104.29),152.42 (140.72)
21/10/2017,156.57 (152.28),114.11 (104.29),152.42 (140.72)
14/10/2017,152.68 (NS),93.64 (103.96),143.25 (103.96)
07/10/2017,148.94 (141.68),90.27 (104.60),136.85 (133.55)
30/09/2017,NS (144.41),89.81 (104.30),89.81 (136.63)
23/09/2017,151.95 (144.45),87.51 (105.14),139.41 (136.36)
16/09/2017,147.18 (144.79),84.35 (98.42),133.54 (139.28)
09/09/2017,147.74 (146.32),70.15 (105.18),135.11 (137.86)
02/09/2017,149.35 (147.21),81.25 (102.84),134.68 (138.09)
26/08/2017,153.73 (147.87),82.79 (101.89),139.18 (138.54)
19/08/2017,155.44(148.43),82.88 (100.17),140.16(138.14)
12/08/2017,153.56 (149.88),88.58 (97.15),140.76 (137.55)
05/08/2017,152.64 (154.30),87.61 (94.75),137.16 (140.01)
29/07/2017,152.55 (154.23),86.91 (97.95),137.07 (141.67)
22/07/2017,154.54 (157.50),83.90 (94.30),135.16 (146.36)
15/07/2017,153.47 (162.16),91.05 (95.86),141.93 (148.90)
08/07/2017,159.32 (160.77),102.85 (96.87),150.57 (147.56)
01/07/2017,158.74 (163.51),88.02 (99.04),141.94 (148.52)
24/06/2017,160.85 (163.00),90.20 (103.31),141.17 (147.52)
17/06/2017,160.61(161.14),90.77 (106.26),139.75 (146.45)
10/06/2017,153.64 (154.78),90.83 (106.98),132.85 (142.11)
03/06/2017,145.37 (149.79),92.25 (104.49),128.98 (136.93)
27/05/2017,143.40 (145.07),96.75 (106.79),128.45 (135.08)
20/05/2017,148.23 (144.51),101.01 (105.50),131.61 (134.52)
13/05/2017,151.81 (147.11),99.83 (106.98),130.89 (136.28)
06/05/2017,150.89 (143.74),102.34(105.31),131.05(133.36)
29/04/2017,145.09(139.14),106.48 (104.21),129.89(127.52)
22/04/2017,145.52(146.29),116.20 (103.51),132.80(131.34)
15/04/2017,142.88 (158.04),105.47 (104.49),128.12 (134.60)
08/04/2017,125.55 (159.10),118.23 (103.41),121.71 (130.18)
01/04/2017,114.68 (133.99),118.83 (103.04),117.24 (113.92)
25/03/2017,110.59 (NS),118.23 (90.32),114.88 (90.32)
18/03/2017,107.90 (118.28),118.27 (99.85),112.01 (104.82)
11/03/2017,107.83 (105.38),119.35 (99.29),111.78 (101.12)
04/03/2017,107.88 (102.43),120.61 (102.49),111.02 (102.48)
25/02/2017,111.58 (109.09),118.05 (107.41),113.31 (108.13)
18/02/2017,112.09 (111.95),117.22 (111.51),113.08 (111.76)
11/02/2017,112.64 (111.97),115.77 (112.97),113.11 (112.27)
04/02/2017,116.26 (114.32),113.88 (111.12),115.87 (113.54)
28/01/2017,119.31 (116.67),112.79 (110.14),118.15 (115.21)
21/01/2017,125.72 (121.42),112.90 (105.16),123.22 (118.14)
14/01/2017,128.19 (130.43),112.34 (105.19),125.10 (124.26)
07/01/2017,134.28 (134.35),110.93 (98.37),129.64 (127.19)
