Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
30/12/2017,149.17(NS),136.80(127.81),131.79(126.14),NS(NS),,NS(NS),NS(NS),NS(NS),65.60(99.14)
23/12/2017,147.62(144.88),139.79(131.35),131.39(128.90),NS(NS),,110.07(111.99),83.75(106.73),92.51(107.22),63.94(95.43)
16/12/2017,155.58(148.67),140.58(130.57),129.78(128.84),NS(NS),,108.91(110.55),81.42(104.97),90.50(103.90),64.13(94.62)
09/12/2017,157.88(148.35),140.01(133.78),128.02(125.89),NS(NS),,109.23(108.17),77.74(103.81),90.12(103.24),63.66(94.43)
02/12/2017,157.66(152.06),142.47(133.44),131.47(126.55),NS(NS),,110.34(109.31),74.75(101.88),89.87(101.75),65.14(95.72)
25/11/2017,159.51(154.83),143.61(138.11),133.54(128.47),NS(NS),,110.67(110.00),75.13(100.18),91.90(101.16),65.46(94.59)
18/11/2017,157.92(154.58),142.04(137.01),133.26(124.00),NS(NS),,109.51(111.10),76.38(98.54),89.79(101.58),67.92(91.26)
11/11/2017,159.63(152.38),144.18(138.84),131.19(130.27),NS(NS),,109.41(114.73),77.57(98.66),93.38(101.07),66.73(90.99)
04/11/2017,158.91(150.34),147.84(137.18),128.42(132.45),NS(NS),,109.30(112.43),78.67(98.47),91.70(100.27),67.00(91.34)
28/10/2017,159.21(147.48),152.04(137.98),129.02(129.59),NS(NS),,107.81(112.54),80.62(NS),89.88(NS),66.86(89.57)
21/10/2017,159.12(148.41),148.86(140.46),132.99(NS),NS(NS),,110.17(112.52),NS(97.23),NS(99.43),NS(86.53)
14/10/2017,160.37(NS),153.66(NS),128.37(NS),NS(NS),,109.69(111.45),81.14(95.58),89.01(102.40),62.51(88.40)
07/10/2017,165.01(144.54),151.24(139.15),127.20(127.22),NS(NS),,106.27(110.64),79.82(97.46),90.73(100.82),61.87(88.07)
30/09/2017,NS(147.47),NS(138.78),NS(130.52),NS(NS),,106.87(111.49),78.85(98.24),84.35(100.80),60.06(88.52)
23/09/2017,162.78(149.87),153.70(139.27),127.38(129.71),NS(NS),,109.36(111.12),76.57(98.79),82.93(100.02),56.74(88.03)
16/09/2017,153.92(150.20),149.57(137.97),126.73(129.82),NS(NS),,105.59(NS),70.75(99.41),80.81(99.91),55.60(84.80)
09/09/2017,160.59(149.90),147.99(140.12),124.18(131.55),NS(NS),,NS(111.51),67.57(98.21),78.13(99.73),58.58(82.26)
02/09/2017,156.33(151.35),149.81(141.28),124.67(130.08),NS(NS),,108.03(114.62),64.22(95.97),82.15(97.25),60.51(78.87)
26/08/2017,163.05(150.00),153.43(142.04),124.43(127.29),NS(NS),,109.92(114.70),64.23(92.73),81.25(96.43),62.94(77.37)
19/08/2017,165.98(155.05),153.11(141.17),126.26(125.14),NS(NS),,107.82(111.39),65.60(90.82),81.48(93.72),58.90(78.43)
12/08/2017,164.03(158.31),156.38(143.12),124.33(128.79),NS(NS),,108.51(111.68),69.57(87.89),84.31(91.48),61.27(77.76)
05/08/2017,154.56(159.40),156.28(144.15),127.64(132.32),NS(NS),,106.82(114.47),73.75(85.97),83.33(90.28),62.51(78.33)
29/07/2017,162.98(159.43),153.23(146.07),126.41(135.79),NS(NS),,106.11(115.98),74.01(85.42),80.45(91.17),62.86(79.49)
22/07/2017,165.87(162.54),151.19(149.85),129.39(138.38),NS(NS),,104.76(114.23),71.86(87.62),82.61(92.73),62.50(81.56)
15/07/2017,160.57(171.50),151.21(154.04),132.76(142.89),NS(NS),,106.61(113.15),69.83(91.00),86.87(94.33),63.19(82.86)
08/07/2017,170.56(163.96),152.63(155.34),132.59(140.11),NS(NS),,104.92(111.72),76.37(94.84),92.89(97.13),67.80(84.41)
01/07/2017,165.76(168.49),150.69(154.87),135.59(111.33),NS(NS),,103.98(114.66),72.06(96.19),88.40(98.93),74.31(84.60)
24/06/2017,161.95(163.93),157.62(152.88),141.00(118.83),NS(NS),,107.40(113.94),76.62(96.94),87.92(100.17),80.61(88.47)
17/06/2017,159.84(163.88),157.29(152.99),144.49(145.44),NS(NS),,110.07(112.70),76.35(98.16),87.62(100.54),77.91(89.39)
10/06/2017,149.52(154.04),150.17(150.08),138.24(142.79),NS(NS),,110.95(114.28),77.07(98.48),88.22(102.17),80.13(91.04)
03/06/2017,139.43(144.51),140.04(146.46),132.88(144.44),NS(NS),,107.80(111.23),78.68(97.36),89.79(100.94),82.29(87.85)
27/05/2017,140.33(144.66),131.32(133.69),135.55(141.03),NS(NS),,112.16(114.01),83.01(96.49),93.16(100.13),83.67(85.41)
20/05/2017,147.06(145.09),131.78(129.30),143.32(142.38),NS(NS),,115.90(113.75),86.31(95.24),93.59(100.15),88.57(84.88)
13/05/2017,149.13(150.15),139.20(136.08),140.96(136.63),NS(NS),,114.49(115.30),86.95(96.35),93.87(102.37),89.49(87.18)
06/05/2017,148.71(146.67),142.07(133.41),138.16(131.53),NS(NS),,116.42(112.35),86.40(96.23),99.22(103.15),95.32(90.01)
29/04/2017,148.44(149.14),148.50(139.84),139.73(130.81),NS(NS),,125.20(109.97),91.33(95.62),101.33(100.94),96.36(87.11)
22/04/2017,151.77(160.41),158.44(146.24),137.23(135.71),NS(NS),,134.19(110.46),99.16(92.97),106.50(99.68),96.31(87.98)
15/04/2017,120.65(164.44),161.34(154.38),143.20(146.80),NS(NS),,NS(112.86),104.23(93.59),110.49(99.98),96.76(85.48)
08/04/2017,112.70(143.69),130.71(170.53),144.27(160.00),NS(NS),,137.24(115.66),105.81(93.73),110.90(100.55),98.26(83.17)
01/04/2017,NS(NS),106.49(119.11),120.34(140.78),NS(NS),,136.60(116.00),106.38(91.59),110.10(98.00),95.66(83.15)
25/03/2017,105.09(NS),NS(NS),97.73(NS),NS(NS),,133.78(NS),105.74(90.74),110.62(96.56),95.90(79.96)
18/03/2017,106.99(111.62),109.54(NS),NS(NS),NS(NS),,133.43(111.15),107.45(91.66),113.49(95.91),94.04(80.96)
11/03/2017,108.97(NS),104.74(105.35),NS(NS),NS(NS),,135.13(107.11),109.18(94.19),115.13(94.58),95.04(78.88)
04/03/2017,108.12(NS),106.32(NS),101.86(102.43),NS(NS),,135.01(109.51),109.65(100.18),114.44(97.86),97.22(79.83)
25/02/2017,110.41(109.77),110.20(108.52),NS(NS),NS(NS),,132.00(114.44),108.60(106.62),113.04(103.37),97.89(82.49)
18/02/2017,116.79(119.41),106.49(108.19),106.19(104.43),NS(NS),,133.16(120.07),106.59(109.94),112.55(105.22),97.70(81.30)
11/02/2017,123.73(122.26),105.59(113.29),105.33(101.94),NS (NS),,128.90(121.57),105.85(110.64),113.49(105.64),98.19(84.45)
04/02/2017,129.21(117.94),106.14(113.04),105.52(105.48),NS(NS),,124.04(123.56),105.11(104.49),110.27(103.93),98.56(83.86)
28/01/2017,131.53(122.06),111.18(115.69),109.11(110.25),NS (NS),,121.13(121.41),105.43(102.74),109.01(101.11),99.08(80.16)
21/01/2017,138.95(131.62),118.20(115.34),113.58(116.51),NS(NS),,119.11(119.64),106.54(96.80),108.30(97.91),100.75(78.17)
14/01/2017,137.42(139.57),119.67(128.57),119.96(119.06),NS(NS),,115.75(118.93),108.48(94.44),107.22(94.73),101.62(79.50)
07/01/2017,142.07(145.47),123.86(129.16),123.50(124.25),NS(NS),,112.85(113.81),108.25(89.47),106.49(91.40),99.02(74.67)
