Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/11/2011,123.35(131.63),105.74(118.31),100.06(104.34),N.S.(N.S.),,80.71(79.19),60.22(65.10),64.77(67.82),56.37(56.53)
31/12/2011,124.07(119.16),97.82(N.S.),101.76(N.S.),N.S.(N.S.),,N.S.(N.S.),N.S.(N.S.),N.S.(N.S.),N.S.(N.S.)
24/12/2011,121.55(122.91),97.94(104.50),103.80(N.S.),N.S.(N.S.),,80.74(80.28),64.22(65.60),66.23(68.54),62.24(60.77)
17/12/2011,118.86(125.06),96.50(109.00),99.38(108.78),N.S.(N.S.),,79.51(79.65),61.63(65.34),65.04(67.24),61.33(59.45)
10/12/2011,122.54(127.22),101.41(110.39),96.60(108.57),N.S.(N.S.),,79.39(79.02),59.57(63.78),64.55(66.84),58.85(58.50)
03/12/2011,127.40(128.61),101.55(117.11),95.56(106.98),N.S.(N.S.),,79.70(78.99),59.31(64.64),63.54(66.14),57.88(57.19)
19/11/2011,124.22(130.93),104.41(120.27),104.16(109.46),N.S.(N.S.),,79.95(79.94),61.88(65.21),65.16(65.21),56.11(54.81)
12/11/2011,126.11(131.62),109.60(118.41),104.50(109.18),N.S.(N.S.),,79.94(82.80),63.06(64.42),66.39(66.24),60.91(54.11)
05/11/2011,126.16(132.73),109.80(118.83),103.47(112.10),N.S.(N.S.),,80.83(82.63),63.37(64.54),68.84(N.S.),61.88(52.88)
29/10/2011,126.83(133.73),114.64(122.23),99.51(108.24),N.S.(N.S.),,82.23(83.39),65.55(64.64),N.S.(66.65),60.17(51.42)
22/10/2011,125.23(N.S.),111.19(124.62),99.97(106.50),N.S.(N.S.),,85.45(84.58),67.08(63.59),72.09(65.61),58.77(52.14)
15/10/2011,127.88(133.76),110.38(N.S.),97.76(N.S.),N.S.(N.S.),,89.74(85.06),67.47(63.41),71.11(66.86),63.54(50.36)
08/10/2011,N.S.(135.56),N.S.(123.41),N.S.(106.64),N.S.(N.S.),,94.45(85.85),68.30(62.47),74.02(65.09),62.26(50.97)
01/10/2011,129.41(131.81),112.61(123.32),90.75(106.39),N.S.(N.S.),,91.78(87.00),67.92(61.45),68.45(64.76),60.47(52.16)
