0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
26/11/2011,110.60(119.03),67.89(68.45),100.81(107.30)
31/12/2011,108.32(119.16),N.S.(N.S.),108.32(119.16)
24/12/2011,107.40(113.02),70.30(71.07),99.92(100.58)
17/12/2011,105.03(114.18),68.22(70.35),96.61(103.71)
10/12/2011,108.96(115.12),66.96(69.24),99.31(104.70)
03/12/2011,109.42(118.73),65.54(69.92),99.63(107.78)
19/11/2011,111.12(120.83),68.43(70.19),102.47(109.31)
12/11/2011,112.24(119.73),70.52(71.69),104.29(109.75)
05/11/2011,114.08(123.87),70.49(72.17),104.30(111.48)
29/10/2011,117.64(122.79),71.70(69.49),103.24(110.87)
22/10/2011,113.25(117.10),73.45(69.04),105.54(103.17)
15/10/2011,111.33(133.76),75.47(71.34),103.61(103.88)
08/10/2011,N.S.(122.86),77.37(69.46),77.37(111.92)
01/10/2011,115.02(121.92),75.96(68.90),104.11(110.88)
24/09/2011,113.23(122.30),73.08(67.69),104.48(111.51)
17/09/2011,112.60(121.58),69.69(73.78),103.56(110.08)
10/09/2011,113.66(124.18),60.36(67.75),105.92(108.05)
03/09/2011,113.42(123.34),67.97(61.68),102.67(106.66)
27/08/2011,113.70(124.05),66.68(53.03),103.27(108.53)
20/08/2011,115.19(124.72),64.59(59.88),102.01(106.14)
13/08/2011,115.50(124.47),64.81(60.24),101.86(106.39)
06/08/2011,115.96(121.96),63.66(60.53),101.33(104.69)
30/07/2011,119.03(122.17),62.42(59.86),102.14(103.16)
23/07/2011,124.68(119.77),63.15(59.27),108.15(100.26)
16/07/2011,127.03(118.37),64.10(59.58),110.04(99.73)
09/07/2011,128.68(119.86),62.60(58.76),111.53(99.46)
02/07/2011,130.20(118.15),63.64(56.88),109.34(94.33)
25/06/2011,130.59(118.22),62.80(56.05),108.25(96.82)
18/06/2011,129.35(115.08),61.99(57.34),105.21(91.45)
11/06/2011,129.02(114.92),61.04(58.60),101.78(90.78)
04/06/2011,125.94(113.07),60.51(62.11),101.18(94.65)
28/05/2011,125.25(115.56),63.51(65.11),104.79(100.93)
21/05/2011,125.24(112.92),64.65(63.29),101.17(94.33)
14/05/2011,123.37(111.72),66.41(66.94),97.94(96.18)
07/05/2011,124.92(111.27),71.04(66.24),103.68(92.14)
30/04/2011,128.19(110.44),70.40(79.22),100.24(89.89)
23/04/2011,116.68(103.78),62.69(71.91),97.75(87.58)
16/04/2011,130.07(108.65),71.71(72.25),88.54(84.91)
09/04/2011,128.56(93.50),72.83(72.48),89.19(81.18)
02/04/2011,72.15(68.87),71.92(63.66),72.04(67.17)
26/03/2011,N.S.(N.S.),71.94(70.27),71.94(70.27)
19/03/2011,N.S.(N.S.),73.54(69.91),73.54(69.91)
12/03/2011,81.27(75.35),75.37(68.49),78.55(72.49)
05/03/2011,82.67(80.68),75.98(68.59),79.86(76.47)
26/02/2011,84.78(88.34),76.63(71.53),82.30(84.44)
19/02/2011,89.93(92.13),74.92(71.69),85.91(87.16)
12/02/2011,92.04(94.79),71.60(72.32),88.47(88.86)
05/02/2011,96.15(95.53),76.90(71.39),92.54(89.34)
29/01/2011,103.15(102.74),77.86(73.30),96.29(92.24)
22/01/2011,100.81(97.36),79.77(74.36),96.45(92.68)
15/01/2011,103.61(95.09),75.12(73.58),95.90(88.06)
08/01/2011,104.97(102.74),72.09(75.16),96.79(95.85)
01/01/2011,108.61(107.65),N.S.(75.29),108.61(101.68)
