Week Ending/Date,Location,Average_Price
29/12/2012,NORTH INDIA,133.93(109.08)
22/12/2012,NORTH INDIA,135.43(107.40)
15/12/2012,NORTH INDIA,137.41(105.03)
08/12/2012,NORTH INDIA,136.85(138.57)
01/12/2012,NORTH INDIA,138.57(109.42)
24/11/2012,NORTH INDIA,138.20(110.60)
17/11/2012,NORTH INDIA,140.70(111.12)
10/11/2012,NORTH INDIA,133.74(112.24)
03/11/2012,NORTH INDIA,131.61(114.08)
27/10/2012,NORTH INDIA,N.S.(117.64)
20/10/2012,NORTH INDIA,130.82(113.25)
13/10/2012,NORTH INDIA,131.03(111.33)
06/10/2012,NORTH INDIA,124.03(N.S.)
29/09/2012,NORTH INDIA,132.88(115.02)
22/09/2012,NORTH INDIA,135.09(113.23)
15/09/2012,NORTH INDIA,136.68(112.60)
08/09/2012,NORTH INDIA,137.02(113.66)
01/09/2012,NORTH INDIA,137.41(113.42)
25/08/2012,NORTH INDIA,140.43(113.70)
18/08/2012,NORTH INDIA,138.65(115.19)
11/08/2012,NORTH INDIA,142.31(115.50)
04/08/2012,NORTH INDIA,143.20(115.96)
28/07/2012,NORTH INDIA,143.90(119.03)
21/07/2012,NORTH INDIA,143.84(124.68)
14/07/2012,NORTH INDIA,143.55(127.03)
07/07/2012,NORTH INDIA,147.60(130.44)
30/06/2012,NORTH INDIA,149.74(129.86)
23/06/2012,NORTH INDIA,153.83(129.57)
16/06/2012,NORTH INDIA,158.77(128.36)
09/06/2012,NORTH INDIA,164.25(127.18)
02/06/2012,NORTH INDIA,163.64(125.85)
26/05/2012,NORTH INDIA,163.17(126.19)
19/05/2012,NORTH INDIA,158.04(125.29)
12/05/2012,NORTH INDIA,154.22(124.80)
05/05/2012,NORTH INDIA,152.88(125.76)
28/04/2012,NORTH INDIA,150.37(121.04)
21/04/2012,NORTH INDIA,135.97(119.46)
14/04/2012,NORTH INDIA,145.17(127.99)
07/04/2012,NORTH INDIA,119.85(96.43)
31/03/2012,NORTH INDIA,84.64(72.15)
24/03/2012,NORTH INDIA,74.04(N.S.)
17/03/2012,NORTH INDIA,79.99(NS)
10/03/2012,NORTH INDIA,85.02(81.27)
03/03/2012,NORTH INDIA,89.71(82.67)
25/02/2012,NORTH INDIA,90.51(84.78)
18/02/2012,NORTH INDIA,93.20(89.93)
11/02/2012,NORTH INDIA,93.78(92.04)
04/02/2012,NORTH INDIA,98.16(96.15)
28/01/2012,NORTH INDIA,99.56(103.15)
21/01/2012,NORTH INDIA,101.80(100.81)
14/01/2012,NORTH INDIA,102.87(103.61)
07/01/2012,NORTH INDIA,105.77(104.97)
29/12/2012,SOUTH INDIA,N.S.(N.S.)
22/12/2012,SOUTH INDIA,99.94(70.30)
15/12/2012,SOUTH INDIA,98.33(68.22)
08/12/2012,SOUTH INDIA,96.05(95.75)
01/12/2012,SOUTH INDIA,95.75(65.54)
24/11/2012,SOUTH INDIA,93.95(67.89)
17/11/2012,SOUTH INDIA,92.26(68.43)
10/11/2012,SOUTH INDIA,90.30(70.52)
03/11/2012,SOUTH INDIA,88.90(70.49)
27/10/2012,SOUTH INDIA,88.08(71.70)
20/10/2012,SOUTH INDIA,88.84(73.45)
13/10/2012,SOUTH INDIA,88.08(75.47)
06/10/2012,SOUTH INDIA,89.19(77.37)
29/09/2012,SOUTH INDIA,92.08(75.96)
22/09/2012,SOUTH INDIA,94.24(73.08)
15/09/2012,SOUTH INDIA,94.36(69.69)
08/09/2012,SOUTH INDIA,93.33(60.36)
01/09/2012,SOUTH INDIA,89.97(67.97)
25/08/2012,SOUTH INDIA,90.18(66.68)
18/08/2012,SOUTH INDIA,89.44(64.59)
11/08/2012,SOUTH INDIA,88.96(87.60)
04/08/2012,SOUTH INDIA,87.60(63.66)
28/07/2012,SOUTH INDIA,84.99(62.42)
21/07/2012,SOUTH INDIA,83.58(63.15)
14/07/2012,SOUTH INDIA,82.55(64.10)
07/07/2012,SOUTH INDIA,82.66(64.09)
30/06/2012,SOUTH INDIA,82.93(63.53)
23/06/2012,SOUTH INDIA,85.43(62.75)
16/06/2012,SOUTH INDIA,90.78(62.03)
09/06/2012,SOUTH INDIA,92.77(61.06)
02/06/2012,SOUTH INDIA,93.10(59.95)
26/05/2012,SOUTH INDIA,92.46(63.64)
19/05/2012,SOUTH INDIA,91.75(64.57)
12/05/2012,SOUTH INDIA,86.28(67.02)
05/05/2012,SOUTH INDIA,85.36(70.81)
28/04/2012,SOUTH INDIA,88.40(70.02)
21/04/2012,SOUTH INDIA,87.60(62.31)
14/04/2012,SOUTH INDIA,84.25(72.04)
07/04/2012,SOUTH INDIA,73.43(72.37)
31/03/2012,SOUTH INDIA,79.50(71.92)
24/03/2012,SOUTH INDIA,80.18(71.94)
17/03/2012,SOUTH INDIA,78.28(73.54)
10/03/2012,SOUTH INDIA,78.14(75.37)
03/03/2012,SOUTH INDIA,76.38(75.98)
25/02/2012,SOUTH INDIA,74.77(76.63)
18/02/2012,SOUTH INDIA,76.25(74.92)
11/02/2012,SOUTH INDIA,76.06(71.60)
04/02/2012,SOUTH INDIA,75.14(76.90)
28/01/2012,SOUTH INDIA,75.89(77.86)
21/01/2012,SOUTH INDIA,73.35(79.77)
14/01/2012,SOUTH INDIA,72.80(75.12)
07/01/2012,SOUTH INDIA,71.56(72.09)
29/12/2012,ALL INDIA,133.93(109.08)
22/12/2012,ALL INDIA,126.71(99.92)
15/12/2012,ALL INDIA,127.08(96.61)
08/12/2012,ALL INDIA,127.13(99.31)
01/12/2012,ALL INDIA,128.73(99.63)
24/11/2012,ALL INDIA,127.75(100.81)
17/11/2012,ALL INDIA,125.57(102.47)
10/11/2012,ALL INDIA,123.99(104.29)
03/11/2012,ALL INDIA,122.77(104.30)
27/10/2012,ALL INDIA,88.08(103.24)
20/10/2012,ALL INDIA,122.44(105.54)
13/10/2012,ALL INDIA,122.75(103.61)
06/10/2012,ALL INDIA,114.54(77.37)
29/09/2012,ALL INDIA,124.96(104.11)
22/09/2012,ALL INDIA,126.75(104.48)
15/09/2012,ALL INDIA,127.94(103.56)
08/09/2012,ALL INDIA,124.93(105.92)
01/09/2012,ALL INDIA,130.45(102.67)
25/08/2012,ALL INDIA,127.70(103.27)
18/08/2012,ALL INDIA,123.77(102.01)
11/08/2012,ALL INDIA,128.47(101.86)
04/08/2012,ALL INDIA,128.80(101.33)
28/07/2012,ALL INDIA,128.51(102.14)
21/07/2012,ALL INDIA,127.09(108.15)
14/07/2012,ALL INDIA,124.24(110.04)
07/07/2012,ALL INDIA,125.30(111.81)
30/06/2012,ALL INDIA,125.02(110.17)
23/06/2012,ALL INDIA,127.99(107.79)
16/06/2012,ALL INDIA,135.78(103.78)
09/06/2012,ALL INDIA,137.95(101.05)
02/06/2012,ALL INDIA,136.62(101.83)
26/05/2012,ALL INDIA,135.78(106.17)
19/05/2012,ALL INDIA,130.94(101.22)
12/05/2012,ALL INDIA,126.78(101.18)
05/05/2012,ALL INDIA,124.76(102.67)
28/04/2012,ALL INDIA,119.51(96.47)
21/04/2012,ALL INDIA,109.99(94.48)
14/04/2012,ALL INDIA,100.13(90.22)
07/04/2012,ALL INDIA,86.22(82.96)
31/03/2012,ALL INDIA,82.01(72.04)
24/03/2012,ALL INDIA,79.71(71.94)
17/03/2012,ALL INDIA,78.73(73.54)
10/03/2012,ALL INDIA,82.03(78.55)
03/03/2012,ALL INDIA,84.92(79.86)
25/02/2012,ALL INDIA,85.65(82.30)
18/02/2012,ALL INDIA,88.93(85.91)
11/02/2012,ALL INDIA,89.02(88.47)
04/02/2012,ALL INDIA,93.40(92.54)
28/01/2012,ALL INDIA,91.83(96.29)
21/01/2012,ALL INDIA,94.18(96.45)
14/01/2012,ALL INDIA,95.77(95.90)
07/01/2012,ALL INDIA,97.25(96.79)
