Week Ending/Date,Location,Average_Price
12/12/2015,ALL INDIA,127.83 (126.61)
05/12/2015,ALL INDIA,130.44 (128.46)
28/11/2015,ALL INDIA,132.99 (126.93)
21/11/2015,ALL INDIA,127.64 (127.85)
14/11/2015,ALL INDIA,137.68 (128.66)
07/11/2015,ALL INDIA,129.13 (123.74)
31/10/2015,ALL INDIA,128.24 (124.06)
24/10/2015,ALL INDIA,79.89 (122.20)
17/10/2015,ALL INDIA,126.73 (125.51)
10/10/2015,ALL INDIA,126.56 (123.38)
03/10/2015,ALL INDIA,125.50 (83.27)
26/09/2015,ALL INDIA,129.07 (126.66)
19/09/2015,ALL INDIA,127.62 (125.32)
12/09/2015,ALL INDIA,129.28 (129.07)
05/09/2015,ALL INDIA,130.61 (126.52)
29/08/2015,ALL INDIA,135.22 (128.64)
22/08/2015,ALL INDIA,133.34 (128.99)
15/08/2015,ALL INDIA,129.62 (128.88)
08/08/2015,ALL INDIA,129.79 (130.38)
01/08/2015,ALL INDIA,129.21 (136.18)
25/07/2015,ALL INDIA,130.52 (133.26)
18/07/2015,ALL INDIA,129.62 (135.02)
11/07/2015,ALL INDIA,126.69 (150.54)
04/07/2015,ALL INDIA,124.75 (142.42)
27/06/2015,ALL INDIA,123.91 (138.02)
20/06/2015,ALL INDIA,121.92 (133.85)
13/06/2015,ALL INDIA,116.08 (128.45)
06/06/2015,ALL INDIA,115.96 (125.15)
30/05/2015,ALL INDIA,114.93 (126.09)
23/05/2015,ALL INDIA,112.21 (128.04)
16/05/2015,ALL INDIA,110.52 (130.13)
09/05/2015,ALL INDIA,113.27(129.06)
02/05/2015,ALL INDIA,112.05 (129.11)
25/04/2015,ALL INDIA,109.01 (126.15)
18/04/2015,ALL INDIA,110.02 (112.53)
11/04/2015,ALL INDIA,104.60 (107.06)
04/04/2015,ALL INDIA,91.27 (100.43)
28/03/2015,ALL INDIA,88.12(91.16)
21/03/2015,ALL INDIA,82.30(89.98)
14/03/2015,ALL INDIA,86.05 (91.20)
07/03/2015,ALL INDIA,88.51(98.76)
28/02/2015,ALL INDIA,89.79(92.15)
21/02/2015,ALL INDIA,95.40(103.07)
14/02/2015,ALL INDIA,101.50(103.60)
07/02/2015,ALL INDIA,102.60(105.26)
31/01/2015,ALL INDIA,109.27(107.57)
24/01/2015,ALL INDIA,112.01(108.67)
17/01/2015,ALL INDIA,117.74(111.99)
10/01/2015,ALL INDIA,115.96(113.33)
03/01/2015,ALL INDIA,116.60(116.53)
