Week Ending/Date,Location,Average_Price
26/12/2009,NORTH INDIA,112.65 (91.94)
19/12/2009,NORTH INDIA,115.61 (93.05)
12/12/2009,NORTH INDIA,116.36 (93.54)
05/12/2009,NORTH INDIA,117.89 (97.66)
28/11/2009,NORTH INDIA,119.64 (98.49)
21/11/2009,NORTH INDIA,122.41 (97.82)
14/11/2009,NORTH INDIA,122.28 (99.18)
07/11/2009,NORTH INDIA,121.37 (100.13)
31/10/2009,NORTH INDIA,119.12 (99.15)
24/10/2009,NORTH INDIA,120.57 (106.57)
17/10/2009,NORTH INDIA,122.05 (106.50)
10/10/2009,NORTH INDIA,119.19 (N.S)
03/10/2009,NORTH INDIA,NS (104.43)
26/09/2009,NORTH INDIA,115.61 (105.07)
19/09/2009,NORTH INDIA,115.00 (102.90)
12/09/2009,NORTH INDIA,116.34 (97.99)
05/09/2009,NORTH INDIA,116.80 (96.59)
29/08/2009,NORTH INDIA,114.09(95.42)
22/08/2009,NORTH INDIA,116.13 (95.84)
15/08/2009,NORTH INDIA,114.76 (95.28)
08/08/2009,NORTH INDIA,114.20 (93.71)
01/08/2009,NORTH INDIA,113.46 (92.68)
25/07/2009,NORTH INDIA,110.97 (92.38)
18/07/2009,NORTH INDIA,111.84 (91.82)
11/07/2009,NORTH INDIA,117.95 (92.39)
04/07/2009,NORTH INDIA,122.99 (92.94)
27/06/2009,NORTH INDIA,125.26 (95.49)
20/06/2009,NORTH INDIA,126.83 (96.31)
13/06/2009,NORTH INDIA,126.59 (94.40)
06/06/2009,NORTH INDIA,130.56 (90.91)
30/05/2009,NORTH INDIA,135.44 (89.52)
23/05/2009,NORTH INDIA,136.10 (89.30)
16/05/2009,NORTH INDIA,132.34 (89.08)
09/05/2009,NORTH INDIA,128.72 (88.31)
02/05/2009,NORTH INDIA,122.29 (88.47)
25/04/2009,NORTH INDIA,113.29 (91.50)
18/04/2009,NORTH INDIA,115.41 (92.98)
11/04/2009,NORTH INDIA,106.07(87.85)
04/04/2009,NORTH INDIA,87.09 (79.57)
28/03/2009,NORTH INDIA,78.90 (63.50)
21/03/2009,NORTH INDIA,75.87 (58.96)
14/03/2009,NORTH INDIA,NO SALE
07/03/2009,NORTH INDIA,75.94 (65.91)
28/02/2009,NORTH INDIA,76.84 (56.12)
21/02/2009,NORTH INDIA,79.37 (61.57)
14/02/2009,NORTH INDIA,82.66 (64.18)
07/02/2009,NORTH INDIA,86.10 (64.51)
31/01/2009,NORTH INDIA,86.16 (65.82)
24/01/2009,NORTH INDIA,89.88 (68.19)
17/01/2009,NORTH INDIA,88.56 (72.22)
10/01/2009,NORTH INDIA,89.64(74.22)
03/01/2009,NORTH INDIA,92.75(75.95)
26/12/2009,SOUTH INDIA,72.30 (64.40)
19/12/2009,SOUTH INDIA,76.88 (69.49)
12/12/2009,SOUTH INDIA,77.46 (66.30)
05/12/2009,SOUTH INDIA,79.34 (62.57)
28/11/2009,SOUTH INDIA,78.61 (68.34)
21/11/2009,SOUTH INDIA,76.95 (73.30)
14/11/2009,SOUTH INDIA,77.53 (72.95)
07/11/2009,SOUTH INDIA,73.44 (69.31)
31/10/2009,SOUTH INDIA,73.50 (79.20)
24/10/2009,SOUTH INDIA,77.44 (84.78)
17/10/2009,SOUTH INDIA,72.43 (87.23)
10/10/2009,SOUTH INDIA,79.08 (85.03)
03/10/2009,SOUTH INDIA,81.86 (84.50)
26/09/2009,SOUTH INDIA,82.34 (89.86)
19/09/2009,SOUTH INDIA,82.03 (87.43)
12/09/2009,SOUTH INDIA,79.83 (75.35)
05/09/2009,SOUTH INDIA,74.10 (76.62)
29/08/2009,SOUTH INDIA,79.83(74.36)
22/08/2009,SOUTH INDIA,78.88 (74.96)
15/08/2009,SOUTH INDIA,79.57 (75.65)
08/08/2009,SOUTH INDIA,79.76 (71.81)
01/08/2009,SOUTH INDIA,71.81 (69.47)
25/07/2009,SOUTH INDIA,82.20 (65.44)
18/07/2009,SOUTH INDIA,81.11 (63.86)
11/07/2009,SOUTH INDIA,79.45 (63.02)
04/07/2009,SOUTH INDIA,79.56 (63.26)
27/06/2009,SOUTH INDIA,82.26 (64.14)
20/06/2009,SOUTH INDIA,81.00 (62.76)
13/06/2009,SOUTH INDIA,81.17 (60.78)
06/06/2009,SOUTH INDIA,80.34 (59.41)
30/05/2009,SOUTH INDIA,89.07 (58.05)
23/05/2009,SOUTH INDIA,88.00 (57.29)
16/05/2009,SOUTH INDIA,88.09 (55.63)
09/05/2009,SOUTH INDIA,90.96 (55.63)
02/05/2009,SOUTH INDIA,85.72 (56.81)
25/04/2009,SOUTH INDIA,86.80 (57.08)
