Week Ending/Date,Location,Average_Price
25/12/2021,NORTH INDIA,178.87(168.38)
18/12/2021,NORTH INDIA,182.88(163.83)
11/12/2021,NORTH INDIA,186.49(165.90)
04/12/2021,NORTH INDIA,187.95(166.43)
27/11/2021,NORTH INDIA,193.12(169.86)
20/11/2021,NORTH INDIA,194.83(176.11)
13/11/2021,NORTH INDIA,191.72(193.21)
06/11/2021,NORTH INDIA,197.54(200.86)
30/10/2021,NORTH INDIA,184.38(205.06)
23/10/2021,NORTH INDIA,188.61(219.44)
16/10/2021,NORTH INDIA,149.51(228.64)
09/10/2021,NORTH INDIA,179.49(241.57)
02/10/2021,NORTH INDIA,183.99(256.06)
25/09/2021,NORTH INDIA,182.63(261.84)
18/09/2021,NORTH INDIA,181.81(268.81)
11/09/2021,NORTH INDIA,181.06(267.98)
04/09/2021,NORTH INDIA,182.32(278.54)
28/08/2021,NORTH INDIA,182.54(281.85)
21/08/2021,NORTH INDIA,183.56(284.10)
14/08/2021,NORTH INDIA,182.57(281.90)
07/08/2021,NORTH INDIA,186.49(282.38)
31/07/2021,NORTH INDIA,188.82(273.91)
24/07/2021,NORTH INDIA,191.91(258.24)
17/07/2021,NORTH INDIA,197.01(263.06)
10/07/2021,NORTH INDIA,201.79(240.44)
03/07/2021,NORTH INDIA,216.84(253.63)
26/06/2021,NORTH INDIA,220.51(247.97)
19/06/2021,NORTH INDIA,224.71(240.36)
12/06/2021,NORTH INDIA,226.24(220.91)
05/06/2021,NORTH INDIA,222.90(207.86)
29/05/2021,NORTH INDIA,216.28(188.50)
22/05/2021,NORTH INDIA,214.96(195.55)
15/05/2021,NORTH INDIA,209.64(193.14)
08/05/2021,NORTH INDIA,205.92(187.94)
05/05/2021,NORTH INDIA,205.92(187.94)
01/05/2021,NORTH INDIA,199.96(205.96)
24/04/2021,NORTH INDIA,205.65(121.25)
17/04/2021,NORTH INDIA,212.37(NS)
10/04/2021,NORTH INDIA,212.47(NS)
03/04/2021,NORTH INDIA,157.20(NS)
27/03/2021,NORTH INDIA,158.23(NS)
20/03/2021,NORTH INDIA,NS(84.16)
13/03/2021,NORTH INDIA,146.51(90.82)
06/03/2021,NORTH INDIA,147.73(89.03)
27/02/2021,NORTH INDIA,156.87(91.28)
20/02/2021,NORTH INDIA,156.87(91.91)
13/02/2021,NORTH INDIA,157.54(97.43)
06/02/2021,NORTH INDIA,158.52(104.64)
30/01/2021,NORTH INDIA,162.76(110.77)
23/01/2021,NORTH INDIA,167.33(117.65)
16/01/2021,NORTH INDIA,170.94(123.40)
09/01/2021,NORTH INDIA,172.07(130.52)
02/01/2021,NORTH INDIA,173.02(135.42)
25/12/2021,SOUTH INDIA,108.75(132.27)
18/12/2021,SOUTH INDIA,107.62(129.46)
11/12/2021,SOUTH INDIA,107.39(127.41)
04/12/2021,SOUTH INDIA,104.29(128.92)
27/11/2021,SOUTH INDIA,103.61(162.61)
20/11/2021,SOUTH INDIA,102.89(165.09)
13/11/2021,SOUTH INDIA,97.74(189.01)
06/11/2021,SOUTH INDIA,97.98(162.46)
30/10/2021,SOUTH INDIA,95.27(158.91)
23/10/2021,SOUTH INDIA,92.97(154.29)
16/10/2021,SOUTH INDIA,93.37(149.02)
09/10/2021,SOUTH INDIA,94.25(151.06)
02/10/2021,SOUTH INDIA,98.08(160.48)
25/09/2021,SOUTH INDIA,99.80(175.57)
18/09/2021,SOUTH INDIA,100.30(189.05)
11/09/2021,SOUTH INDIA,96.96(192.53)
04/09/2021,SOUTH INDIA,99.69(191.74)
28/08/2021,SOUTH INDIA,99.05(182.41)
21/08/2021,SOUTH INDIA,91.57(169.04)
14/08/2021,SOUTH INDIA,97.05(163.38)
07/08/2021,SOUTH INDIA,99.12(147.52)
31/07/2021,SOUTH INDIA,98.81(142.37)
24/07/2021,SOUTH INDIA,98.04(137.60)
17/07/2021,SOUTH INDIA,98.15(131.40)
10/07/2021,SOUTH INDIA,97.43(123.72)
03/07/2021,SOUTH INDIA,102.95(113.53)
26/06/2021,SOUTH INDIA,102.75(108.68)
19/06/2021,SOUTH INDIA,106.21(105.73)
12/06/2021,SOUTH INDIA,116.23(102.18)
05/06/2021,SOUTH INDIA,121.34(98.62)
29/05/2021,SOUTH INDIA,139.23(98.87)
22/05/2021,SOUTH INDIA,135.36(97.23)
15/05/2021,SOUTH INDIA,130.33(99.17)
08/05/2021,SOUTH INDIA,124.23(100.82)
05/05/2021,SOUTH INDIA,124.23(100.82)
01/05/2021,SOUTH INDIA,119.65(93.09)
24/04/2021,SOUTH INDIA,121.54(102.83)
17/04/2021,SOUTH INDIA,122.66(130.27)
10/04/2021,SOUTH INDIA,127.60(119.84)
03/04/2021,SOUTH INDIA,120.57(NS)
27/03/2021,SOUTH INDIA,141.04(NS)
20/03/2021,SOUTH INDIA,140.71(88.69)
13/03/2021,SOUTH INDIA,140.06(91.34)
06/03/2021,SOUTH INDIA,137.18(92.30)
27/02/2021,SOUTH INDIA,143.06(87.76)
20/02/2021,SOUTH INDIA,145.31(92.94)
13/02/2021,SOUTH INDIA,146.09(93.77)
06/02/2021,SOUTH INDIA,142.89(93.16)
30/01/2021,SOUTH INDIA,147.95(94.67)
23/01/2021,SOUTH INDIA,146.29(95.40)
16/01/2021,SOUTH INDIA,147.11(95.19)
09/01/2021,SOUTH INDIA,145.61(96.10)
02/01/2021,SOUTH INDIA,108.74(86.06)
25/12/2021,ALL INDIA,164.95(161.63)
18/12/2021,ALL INDIA,168.97(157.64)
11/12/2021,ALL INDIA,173.14(158.31)
04/12/2021,ALL INDIA,171.78(159.74)
27/11/2021,ALL INDIA,177.86(168.99)
20/11/2021,ALL INDIA,179.24(174.50)
13/11/2021,ALL INDIA,174.70(192.91)
06/11/2021,ALL INDIA,173.82(193.58)
30/10/2021,ALL INDIA,167.83(186.84)
23/10/2021,ALL INDIA,169.88(204.62)
16/10/2021,ALL INDIA,93.41(206.95)
09/10/2021,ALL INDIA,163.74(217.56)
02/10/2021,ALL INDIA,169.61(234.05)
25/09/2021,ALL INDIA,166.48(245.40)
18/09/2021,ALL INDIA,163.81(253.97)
11/09/2021,ALL INDIA,165.06(248.31)
04/09/2021,ALL INDIA,167.44(262.80)
28/08/2021,ALL INDIA,165.70(261.66)
21/08/2021,ALL INDIA,170.48(261.27)
14/08/2021,ALL INDIA,164.25(253.23)
07/08/2021,ALL INDIA,169.93(253.42)
31/07/2021,ALL INDIA,168.35(243.41)
24/07/2021,ALL INDIA,169.39(212.52)
17/07/2021,ALL INDIA,173.19(225.58)
10/07/2021,ALL INDIA,175.61(190.19)
03/07/2021,ALL INDIA,185.79(211.86)
26/06/2021,ALL INDIA,180.06(205.09)
19/06/2021,ALL INDIA,180.65(190.29)
12/06/2021,ALL INDIA,194.58(171.11)
05/06/2021,ALL INDIA,187.09(164.96)
29/05/2021,ALL INDIA,197.66(148.97)
22/05/2021,ALL INDIA,185.02(149.38)
15/05/2021,ALL INDIA,173.46(153.67)
08/05/2021,ALL INDIA,175.32(130.82)
05/05/2021,ALL INDIA,175.32(130.82)
01/05/2021,ALL INDIA,168.07(126.00)
24/04/2021,ALL INDIA,176.35(109.62)
17/04/2021,ALL INDIA,171.43(130.27)
10/04/2021,ALL INDIA,174.50(119.84)
03/04/2021,ALL INDIA,129.32(NS)
27/03/2021,ALL INDIA,147.48(NS)
20/03/2021,ALL INDIA,140.71(86.43)
13/03/2021,ALL INDIA,143.54(91.18)
06/03/2021,ALL INDIA,142.20(89.95)
27/02/2021,ALL INDIA,151.61(90.17)
20/02/2021,ALL INDIA,153.31(92.12)
13/02/2021,ALL INDIA,154.54(96.80)
06/02/2021,ALL INDIA,155.20(102.53)
30/01/2021,ALL INDIA,159.99(107.71)
23/01/2021,ALL INDIA,163.48(113.69)
16/01/2021,ALL INDIA,166.14(118.41)
09/01/2021,ALL INDIA,167.12(123.90)
02/01/2021,ALL INDIA,171.76(129.19)
