Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
27/12/2014,154.00(143.77),126.21(117.81),123.58(123.35),NS(NS),,NS(NS),NS(NS),NS(NS),NS(NS)
20/12/2014,163.07(143.51),125.90(118.65),120.92(120.25),NS(NS),,101.03(98.56),68.65(73.19),74.65(80.36),49.74(76.66)
13/12/2014,162.89(146.96),133.06(121.76),120.28(125.78),NS(NS),,96.27(96.62),65.53(71.78),75.23(79.85),49.87(76.89)
06/12/2014,167.18(152.31),133.87(124.54),120.98(120.67),NS(NS),,91.82(95.38),63.99(72.31),75.18(81.18),50.13(75.60)
29/11/2014,164.65(153.33),135.22(124.02),122.26(123.10),NS(NS),,90.26(100.54),62.33(74.34),73.40(80.88),49.15(75.05)
22/11/2014,164.80(146.15),135.24(126.04),128.12(126.57),NS(NS),,86.00(103.56),61.42(76.15),73.09(84.36),49.34(80.37)
15/11/2014,161.67(144.73),140.05(130.55),128.50(121.57),NS(NS),,87.08(104.03),60.91(74.35),72.73(82.51),49.50(77.55)
08/11/2014,156.50(144.78),137.04(131.78),123.03(120.62),86.90(83.27),,88.71(107.97),62.74(71.71),74.44(81.88),48.79(75.77)
01/11/2014,153.01(145.11),136.55(130.12),126.00(117.66),99.34(85.00),,88.88(109.59),63.44(73.69),74.76(NS),50.72(75.48)
25/10/2014,151.69(148.04),136.59(132.51),119.78(118.36),NS(NS),,93.57(108.72),65.14(77.29),(NS)85.07,49.29(76.88)
18/10/2014,151.82(NS),136.25(NS),119.85(NS),NS(NS),,97.69(111.16),69.82(79.37),80.16(89.75),50.23(78.49)
11/10/2014,150.25(148.81),135.50(137.32),121.34(115.06),NS(NS),,100.06(118.35),72.99(84.45),79.19(96.25),50.87(82.92)
04/10/2014,NS(148.01),NS(135.36),NS(116.84),NS(85.65),,99.47(122.77),76.14(86.29),83.71(95.26),52.21(85.66)
27/09/2014,149.44(148.10),137.67(131.59),122.03(117.97),106.27(87.74),,100.46(130.67),76.53(87.94),77.70(98.44),51.51(87.05)
20/09/2014,152.43(145.77),135.82(131.85),124.20(116.66),93.14(85.59),,98.45(NS),74.67(87.87),75.91(99.81),48.98(89.14)
13/09/2014,147.62(145.36),142.00(131.08),123.96(115.78),106.60(93.50),,NS(128.62),70.44(87.93),71.55(101.39),48.21(90.39
06/09/2014,151.73(144.05),140.92(129.23),123.22(113.91),NS(88.22),,96.22(128.20),66.79(86.68),71.43(98.95),49.11(92.87)
30/08/2014,155.34(146.59),145.57(132.27),121.54(114.81),92.99(91.33),,94.47(125.16),63.04(86.43),68.27(95.25),52.42(88.10)
23/08/2014,157.06(146.78),146.97(132.56),124.24(116.48),102.39(91.02),,93.65(121.70),62.70(84.40),70.40(92.96),50.19(84.17)
16/08/2014,161.16(155.04),151.07(134.78),127.60(115.81),103.25(91.10),,95.41(123.24),62.45(84.85),69.18(92.94),50.73(84.54)
09/08/2014,164.98(150.85),152.84(139.61),129.43(118.32),105.93(90.24),,92.55(123.69),63.93(84.59),69.77(94.01),53.22(86.24)
02/08/2014,169.05(147.60),158.57(140.94),132.00(121.56),120.00(92.41),,97.51(117.24),66.39(85.20),70.51(92.35),55.80(87.94)
26/07/2014,176.66(150.47),162.26(142.14),134.38(123.97),114.73(94.78),,98.73(116.45),65.60(83.93),72.59(91.76),57.05(91.87)
19/07/2014,181.20(153.68),165.71(144.93),138.56(124.85),106.06(93.70),,95.80(113.79),66.66(85.41),73.92(91.64),56.97(91.78)
12/07/2014,189.38(157.33),174.07(146.80),144.10(126.88),114.19(101.53),,96.80(109.65),74.71(87.99),80.55(92.33),55.22(92.50)
05/07/2014,186.10(158.62),174.18(148.91),148.12(128.06),117.47(103.42),,94.77(109.09),73.04(91.00),76.15(95.76),57.62(94.23)
28/06/2014,182.85(155.34),177.29(147.02),154.99(133.01),NS(100.64),,94.54(109.66),76.27(91.85),80.66(95.99),57.97(92.75)
21/06/2014,174.66(148.54),176.29(142.94),158.51(137.11),NS(109.64),,92.98(109.02),76.38(91.59),78.74(95.75),59.46(93.31)
14/06/2014,166.56(144.87),171.55(141.25),151.22(139.41),NS(112.13),,92.13(108.96),75.26(90.54),82.77(95.67),58.71(90.33)
07/06/2014,162.49(147.56),163.39(138.74),143.90(138.86),NS(113.50),,94.48(111.20),76.43(91.96),85.56(95.82),60.00(88.45)
31/05/2014,160.14(149.53),163.76(135.41),137.38(137.83),NS(113.96),,99.06(113.82),78.29(92.19),86.53(96.97),61.77(89.67)
24/05/2014,160.61(151.69),160.93(141.91),140.85(134.02),NS(122.20),,103.20(110.63),80.89(92.33),88.36(95.30),61.53(87.42)
17/05/2014,164.01(155.68),158.48(148.31),138.36(127.96),N.S.(N.S),,107.17(107.59),79.82(91.30),91.43(93.34),62.40(84.80)
10/05/2014,161.06(153.75),165.04(145.64),140.12(129.75),N.S.(N.S),,108.17(108.70),82.38(93.37),92.06(93.02),63.31(82.59)
03/05/2014,167.02(158.93),166.38(151.43),146.68(130.20),N.S.(N.S),,111.32(117.51),80.67(97.28),88.58(99.00),60.93(83.61)
26/04/2014,167.68(157.00),159.54(156.28),145.82(132.53),N.S.(138.68),,107.64(124.09),77.30(100.64),85.30(103.43),65.11(87.24)
19/04/2014,133.67(156.49),140.78(163.52),150.23(138.81),N.S.(N.S.),,NS(126.37),72.27(102.82),81.85(105.52),66.56(89.94)
12/04/2014,162.95(137.72),164.36(157.50),149.73(144.43),N.S.(N.S.),,108.60(129.78),72.68(105.02),82.75(110.35),65.13(91.84)
05/04/2014,113.96(132.08),131.47(131.67),148.92(143.98),N.S.(N.S.),,109.34(131.81),72.24(109.48),82.89(113.03),64.64(96.11)
29/03/2014,102.38(NS),91.43(NS),95.63(NS),N.S.(N.S.),,109.19(NS),73.59(109.63),84.07(117.47),67.56(96.79)
22/03/2014,NS(134.46),NS(127.98),NS(134.72),N.S.(N.S.),,107.35(134.62),76.32(110.75),83.51(116.04),70.72(99.61)
15/03/2014,NS(NS),NS(NS),NS(NS),N.S.(N.S.),,106.92(124.30),80.85(107.93),85.76(111.60),70.64(94.41)
08/03/2014,109.66(137.56),109.59(122.39),95.06(124.68),N.S.(N.S.),,107.63(116.86),82.25(104.00),87.79(107.23),75.49(91.28)
01/03/2014,N.S.(140.62),N.S.(N.S.),N.S.(N.S.),N.S.(N.S.),,108.24(110.03),82.84(99.83),91.12(102.18),74.76(84.98)
22/02/2014,114.99(133.19),115.12(121.85),95.60(121.78),N.S.(N.S.),,111.42(107.89),83.28(97.86),91.78(99.32),71.98(87.03)
15/02/2014,116.41(128.29),110.56(120.77),98.59(116.31),N.S.(N.S.),,111.91(105.71),85.79(98.37),89.69(97.92),73.82(91.77)
08/02/2014,119.04(130.35),105.06(119.13),105.34(113.36),N.S.(N.S.),,109.64(104.55),84.79(98.71),90.46(97.61),74.49(91.99)
01/02/2014,120.33(130.71),107.47(116.72),106.67(114.94),N.S.(N.S.),,109.07(102.89),84.47(98.21),92.61(97.72),74.80(93.47)
25/01/2014,125.62(139.69),107.82(116.64),110.77(112.69),N.S.(N.S.),,106.80(101.43),82.79(98.16),90.20(96.95),79.43(94.34)
18/01/2014,129.64(137.50),107.86(121.70),113.71(115.51),N.S.(98.42),,112.07(101.62),82.15(97.55),88.96(96.20),82.59(97.48)
11/01/2014,136.13(142.04),113.20(122.05),118.12(118.56),N.S.(97.68),,110.29(104.11),78.45(99.35),84.12(98.31),73.58(98.99)
04/01/2014,145.31(144.54),116.88(130.10),122.44(121.08),N.S.(99.40),,100.85(103.70),76.76(99.80),82.52(98.81),69.68(101.73)
