0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
27/12/2014,135.69(130.89),NS(NS),135.69(130.89)
20/12/2014,138.53(130.50),77.55(84.86),125.91(117.85)
13/12/2014,141.31(131.91),77.71(83.59),128.35(119.25)
06/12/2014,143.52(136.29),76.53(83.86),130.49(124.85)
29/11/2014,142.64(137.54),74.98(87.83),128.64(127.37)
22/11/2014,146.36(137.28),73.07(87.15),131.61(125.29)
15/11/2014,145.24(136.57),72.59(86.63),131.04(123.25)
08/11/2014,139.44 (137.21),74.87 (87.11),125.88 (125.91)
01/11/2014,140.90(136.04),74.14(91.62),126.39(127.99)
25/10/2014,143.82(138.79),77.41(91.63),126.37(129.99)
18/10/2014,139.45(NS),81.76(95.22),128.60(95.22)
11/10/2014,138.22(142.21),82.28(100.61),126.59(130.11)
04/10/2014,NS(139.31),85.43(102.02),85.43(131.39)
27/09/2014,140.03(138.89),82.23(105.84),129.36(132.20)
20/09/2014,141.72(138.63),78.51(90.74),129.14(132.54)
13/09/2014,142.54(139.29),67.66(105.62),133.04(133.25)
06/09/2014,142.47(136.94),75.51(101.45),130.22(131.43)
30/08/2014,145.48(139.44),75.44(99.19),132.32(132.31)
23/08/2014,148.11(140.17),74.57(97.09),133.13(132.58)
16/08/2014,151.41(143.73),74.53(99.19),132.76(135.44)
09/08/2014,154.47(147.69),74.00(97.94),135.34(137.16)
02/08/2014,160.17(147.90),78.03(96.90),140.90(136.17)
26/07/2014,164.57(149.32),75.61(96.25),138.28(136.67)
19/07/2014,168.57(151.33),76.42(97.03),140.05(136.75)
12/07/2014,177.08 (155.21),85.99(97.51),155.91(140.27)
05/07/2014,176.73 (158.43),82.64(99.44),147.81(141.66)
28/06/2014,177.02 (157.89),83.37(99.83),142.14(137.88)
21/06/2014,171.73 (154.67),82.94 (99.54),135.98 (134.01)
14/06/2014,164.63(150.39),83.74(98.21),130.33(131.32)
07/06/2014,158.72 (147.63),85.23(100.73),127.29(132.31)
31/05/2014,157.54 (149.48),87.55 (101.66),129.19 (133.74)
24/05/2014,157.19(153.17),89.07(99.41),130.49(131.70)
17/05/2014,159.80(156.11),90.73(97.50),134.29(130.81)
10/05/2014,157.57 (153.00),92.80 (98.44),132.58 (129.43)
03/05/2014,161.24 (150.97),90.80(105.69),131.93(132.36)
26/04/2014,155.69 (151.61),88.36 (110.04),127.64 (132.53)
19/04/2014,145.15(150.08),72.54(111.70),113.89(129.73)
12/04/2014,155.64(144.69),87.52(113.67),107.54(129.31)
05/04/2014,137.07(138.90),86.59(116.51),101.73(125.47)
29/03/2014,109.59(NS),88.29(109.15),93.77(109.15)
22/03/2014,NS(133.54),90.77(120.52),90.77(124.52)
15/03/2014,NS(NS),92.24(111.82),92.24(111.82)
08/03/2014,104.51 (129.76),92.43 (107.44),100.00 (116.67)
01/03/2014,N.S. (144.81),92.89 (102.06),92.89 (119.72)
22/02/2014,107.74 (130.16),94.93 (101.31),103.37 (119.67)
15/02/2014,107.20 (125.54),95.79 (101.36),103.90 (117.78)
08/02/2014,111.03 (123.52),93.21 (101.16),106.17 (117.25)
01/02/2014,112.37 (122.76),94.02 (99.71),107.98 (115.99)
25/01/2014,114.97 (125.84),93.36 (99.73),109.33 (118.08)
18/01/2014,119.06 (127.69),94.26 (101.03),112.89 (121.23)
11/01/2014,123.45 (130.25),89.25 (101.24),114.24 (122.25)
04/01/2014,129.18 (134.75),86.44 (101.97),117.54 (125.79)
