0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
26/12/2015,138.43 (134.36),80.78 (NS),133.36 (134.36)
19/12/2015,139.13 (137.08),90.37 (76.20),130.32 (124.45)
12/12/2015,136.45 (139.49),88.55 (75.99),127.83 (126.61)
05/12/2015,139.41 (141.39),85.08 (74.67),130.44 (128.46)
28/11/2015,144.69 (140.75),84.75 (72.99),132.99 (126.93)
21/11/2015,139.53 (142.50),80.62 (70.89),127.64 (127.85)
14/11/2015,151.57 (142.74),84.64 (70.54),137.68 (128.66)
07/11/2015,139.37 (137.29),78.27 (72.44),129.13 (123.74)
31/10/2015,138.27 (138.53),79.37 (71.52),128.24 (124.06)
24/10/2015,NS (139.49),79.89 (74.20),79.89 (122.20)
17/10/2015,138.09 (136.22),81.90 (78.81),126.73 (125.51)
10/10/2015,138.55 (134.87),79.14 (80.04),126.56 (123.38)
03/10/2015,136.53 (NS),81.23 (83.27),125.50 (83.27)
26/09/2015,141.64 (137.02),80.29 (80.70),129.07 (126.66)
19/09/2015,141.75 (137.45),76.26 (77.09),127.62 (125.32)
12/09/2015,143.22 (138.41),72.88 (67.17),129.28 (129.07)
05/09/2015,145.28 (138.47),73.39 (74.06),130.61 (126.52)
29/08/2015,146.89 (141.24),63.37 (74.09),135.22 (128.64)
22/08/2015,147.99 (143.25),74.97 (73.03),133.34 (128.99)
15/08/2015,146.19 (146.63),73.56 (73.27),129.62 (128.88)
08/08/2015,147.66 (148.72),71.01 (72.65),129.79 (130.38)
01/08/2015,149.78 (154.46),71.02 (76.70),129.21 (136.18)
25/07/2015,150.91 (158.35),71.57 (74.42),130.52 (133.26)
18/07/2015,148.60 (162.21),72.76 (75.26),129.62 (135.02)
11/07/2015,146.98 (170.59),75.55 (84.53),126.69 (150.54)
04/07/2015,145.14 (169.74),75.42 (81.05),124.75 (142.42)
27/06/2015,147.65 (171.76),73.64 (81.90),123.91 (138.02)
20/06/2015,147.07 (169.35),71.92 (81.44),121.92 (133.85)
13/06/2015,143.54 (162.76),70.44 (82.10),116.08 (128.45)
06/06/2015,143.89 (156.43),72.21 (84.06),115.96 (125.15)
30/05/2015,145.30 (154.17),71.97 (86.25),114.93 (126.09)
23/05/2015,141.91 (154.27),73.88 (88.00),112.21 (128.04)
16/05/2015,140.71 (154.72),76.64 (89.62),110.52 (130.13)
09/05/2015,142.21(153.12),78.01(91.72),113.27(129.06)
02/05/2015,143.06 (157.38),80.78 (89.57),112.05 (129.11)
25/04/2015,133.82 (153.95),83.96 (87.06),109.01 (126.15)
18/04/2015,134.48 (143.33),84.59 (71.96),110.02 (112.53)
11/04/2015,127.56 (155.58),84.07 (86.42),104.60 (107.06)
04/04/2015,102.20 (135.85),74.65 (85.52),91.27 (100.43)
28/03/2015,90.62(96.53),84.57(87.06),88.12(91.16)
21/03/2015,78.45(NS),83.77(89.98),82.30(89.98)
14/03/2015,87.45(NS),83.26(91.20),86.05 (91.20)
07/03/2015,92.53(103.20),84.19(91.37),88.51(98.76)
28/02/2015,92.01(NS),83.98(92.15),89.79(92.15)
21/02/2015,99.88(107.55),84.44(94.25),95.40(103.07)
14/02/2015,107.36(106.97),84.20(95.14),101.50(103.60)
07/02/2015,108.89(110.05),83.31(92.44),102.60(105.26)
31/01/2015,117.51(112.06),83.52(93.30),109.27(107.57)
24/01/2015,120.62(114.49),81.51(92.00),112.01(108.67)
17/01/2015,131.32(118.12),80.90(93.60),117.74(111.99)
10/01/2015,126.34(122.71),77.43(87.80),115.96(113.33)
03/01/2015,129.51(128.59),75.00(85.28),116.60(116.53)
