Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/12/2015,153.79(154.00),135.27(126.18),128.56(123.58),NS(NS),,NS(NS),83.51(NS),NS(NS),72.87(NS)
19/12/2015,157.45(163.07),134.46(125.90),125.55(120.92),NS(NS),,107.85(101.03),82.18(68.65),86.85(74.65),68.76(49.74)
12/12/2015,155.83(162.89),133.57(133.06),120.70(120.28),NS(NS),,105.87(96.27),80.87(65.53),83.87(75.23),66.11(49.87)
05/12/2015,154.94(167.18),137.00(133.87),125.47(120.98),NS(NS),,103.73(91.82),78.69(63.99),81.06(75.18),63.39(50.13)
28/11/2015,157.92(164.65),144.91(135.22),132.17(122.26),NS(NS),,105.30(90.26),75.52(62.33),80.56(73.40),64.30(49.15)
21/11/2015,152.56(164.80),141.95(135.24),125.17(128.12),NS(NS),,94.81(86.00),73.33(61.42),79.55(73.09),62.93(49.34)
14/11/2015,154.15(161.67),147.66(140.05),NS(128.50),NS(NS),,93.67(87.08),NS(60.91),NS(72.73),60.51(49.50)
07/11/2015,155.49(156.50),141.27(137.04),121.91(123.03),NS(86.90),,94.38(88.71),72.45(62.74),79.24(74.44),57.25(48.79)
31/10/2015,153.37(153.01),140.56(136.55),120.13(126.00),NS(99.34),,101.26(88.88),72.12(63.44),81.35(74.76),56.19(50.72)
24/10/2015,NS(151.69),NS(136.59),NS(119.78),NS(NS),,106.71(93.57),73.26(65.14),77.93(NS),54.32(49.29)
17/10/2015,157.02(151.82),140.92(136.25),115.19(119.85),NS(NS),,105.60(97.69),72.71(69.82),81.11(80.16),51.72(50.23)
10/10/2015,162.17(150.25),141.25(135.50),112.72(121.34),NS(NS),,101.07(100.06),69.74(72.99),75.41(79.19),54.91(50.87)
03/10/2015,153.90(NS),145.37(NS),110.88(NS),NS(NS),,100.70(99.47),68.30(76.14),75.89(83.71),56.15(52.21)
26/09/2015,158.22(149.44),146.82(137.67),115.23(122.03),NS(106.27),,98.50(100.46),68.40(76.53),72.51(77.70),55.13(51.51)
19/09/2015,164.58(152.43),144.42(135.82),116.21(124.20),NS(93.14),,92.89(98.45),67.02(74.67),72.62(75.91),50.24(48.98)
12/09/2015,164.57(147.62),144.06(142.00),118.19(123.96),86.03(106.60),,89.70(NS),65.68(70.44),69.66(71.55),54.33(48.21)
