Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/12/2015,160.32(155.77),135.32(126.11),128.56(123.58),NS(NS),,NS(NS),84.70(NS),NS(NS),72.91(NS)
19/12/2015,164.17(163.76),134.52(125.91),125.55(120.92),NS(NS),,111.67(102.49),83.82(69.38),86.82(74.70),68.79(49.74)
12/12/2015,163.93(164.96),133.65(133.03),120.70(120.28),NS(NS),,109.58(98.72),82.55(66.33),83.93(75.10),66.30(49.87)
05/12/2015,164.14(169.09),137.19(133.88),125.47(120.98),NS(NS),,108.43(94.38),80.35(64.72),81.15(75.15),63.58(50.13)
28/11/2015,166.82(167.24),145.05(135.17),132.17(122.26),NS(NS),,108.56(93.29),77.30(63.33),80.70(73.44),64.66(49.15)
21/11/2015,163.09(170.68),142.01(135.26),125.17(128.12),NS(NS),,99.34(89.78),74.63(61.96),79.82(73.11),63.63(49.34)
14/11/2015,166.10(166.21),147.77(140.02),NS(128.50),NS(NS),,98.62(90.37),NS(61.37),NS(72.73),60.78(49.50)
07/11/2015,162.96(160.72),141.44(137.12),121.91(123.03),NS(86.90),,99.32(92.84),74.06(63.31),79.33(74.44),57.50(48.79)
31/10/2015,162.19(157.87),140.67(136.53),120.13(126.00),NS(99.34),,104.49(93.87),73.77(63.81),81.39(74.67),56.38(50.72)
24/10/2015,NS(160.08),NS(136.61),NS(119.78),NS(NS),,108.64(98.38),74.76(65.71),78.08(NS),54.59(49.29)
17/10/2015,166.09(158.94),141.19(136.21),115.19(119.85),(NS),,107.84(102.26),74.18(70.74),81.16(80.14),51.72(50.23)
10/10/2015,170.22(157.68),141.69(135.47),112.72(121.34),NS(NS),,104.10(103.32),71.04(73.56),75.51(79.17),54.91(50.87)
03/10/2015,161.98(NS),145.55(NS),110.88(NS),NS(NS),,104.21(102.62),69.71(76.39),76.08(83.68),56.15(52.21)
26/09/2015,166.49(156.25),146.99(137.65),115.23(122.03),NS(106.27),,102.68(102.41),69.71(77.00),72.51(77.65),55.13(51.51)
19/09/2015,171.09(161.86),144.87(135.79),116.21(124.20),NS(93.14),,99.05(99.88),68.21(75.29),72.66(76.07),50.24(48.98)
12/09/2015,173.65(157.53),144.82(141.95),118.19(123.96),86.03(106.60),,95.97(NS),67.28(71.07),69.90(71.65),54.33(48.21)
05/09/2015,175.42(161.33),150.88(140.90),120.68(123.22),103.44(NS),,96.78(98.32),66.51(67.32),72.36(71.59),54.72(49.11)
29/08/2015,180.25(165.44),153.40(145.57),119.17(121.53),90.28(92.99),,NS(95.46),65.73(63.70),71.53(68.26),52.17(52.42)
22/08/2015,184.63(168.47),152.88(147.00),120.75(124.24),100.84(102.39),,96.46(94.90),65.91(63.30),71.65(70.64),54.57(50.19)
15/08/2015,180.80(173.18),152.82(151.07),123.27(127.60),100.64(103.25),,94.83(96.37),65.42(63.21),70.98(69.57),58.30(50.73)
08/08/2015,179.62(177.98),152.66(152.87),127.01(129.44),NS(105.93),,90.74(94.01),65.86(64.36),70.51(69.82),56.71(53.22)
