0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
26/12/2015,140.84 (135.68),81.78 (NS),135.61 (135.68)
19/12/2015,142.19 (138.53),93.26 (77.55),133.05 (125.91)
12/12/2015,139.91 (141.31),91.38 (77.71),130.90 (128.35)
05/12/2015,143.41 (143.52),88.24 (76.53),134.07 (130.49)
28/11/2015,148.39 (142.64),87.43 (74.98),136.30 (128.64)
21/11/2015,143.69 (146.36),83.49 (73.07),131.36 (131.61)
14/11/2015,159.75 (145.24),89.58 (72.59),145.15 (131.04)
07/11/2015,142.51 (139.44),81.53 (74.87),131.89 (125.88)
31/10/2015,141.84 (140.90),81.78 (74.14),131.49 (126.39)
24/10/2015,NS (143.82),81.94 (77.41),81.94 (126.37)
17/10/2015,142.41 (139.45),84.16 (81.76),130.51 (128.60)
10/10/2015,142.43 (138.22),81.80 (82.28),129.88 (126.59)
03/10/2015,139.54 (NS),84.16 (85.43),128.08 (85.43)
26/09/2015,145.16 (140.03),83.45 (82.23),132.12 (129.36)
19/09/2015,144.80 (141.72),80.43 (78.51),130.37 (129.14)
12/09/2015,147.74 (142.54),76.36 (67.66),133.40 (133.04)
05/09/2015,150.03 (142.47),76.74 (75.51),134.80 (130.22)
29/08/2015,152.36 (145.49),64.29 (75.44),140.35 (132.33)
22/08/2015,154.26 (148.11),78.72 (74.57),138.62 (133.13)
15/08/2015,152.49 (151.41),76.78 (74.53),134.97 (132.76)
08/08/2015,154.72 (154.47),73.54 (74.00),135.73 (135.33)
01/08/2015,156.64 (160.17),73.85 (78.03),135.10 (140.89)
25/07/2015,158.62 (164.59),74.30 (75.61),136.80 (138.28)
18/07/2015,156.20 (168.57),76.31 (76.42),135.93 (140.05)
11/07/2015,151.86 (177.08),78.35 (85.99),130.60 (155.90)
04/07/2015,152.77 (176.74),78.01 (82.64),130.83 (147.80)
27/06/2015,155.55 (177.03),76.25 (83.37),130.49 (142.12)
20/06/2015,152.86 (171.59),74.48 (82.94),126.72 (135.96)
13/06/2015,149.27 (164.63),73.19 (83.74),121.22 (130.32)
06/06/2015,147.94 (158.74),75.13 (85.23),119.65 (127.29)
30/05/2015,150.73 (157.54),74.98 (87.55),119.78 (129.19)
23/05/2015,146.39 (157.19),76.18 (89.07),115.92 (130.49)
16/05/2015,146.37 (159.81),78.96 (90.65),114.97 (134.26)
09/05/2015,148.33(157.57),80.51(92.80),118.13(132.58)
02/05/2015,145.73 (161.24),82.74 (90.80),113.76 (131.93)
25/04/2015,136.82 (155.69),86.46 (88.36),111.34 (127.64)
18/04/2015,135.97 (145.14),85.90 (72.54),111.09 (113.87)
11/04/2015,127.87 (155.64),85.87 (87.52),105.31 (107.54)
04/04/2015,102.15 (137.07),75.24 (86.59),91.31 (101.73)
28/03/2015,91.09(100.59),86.31(88.29),89.05(93.77)
21/03/2015,78.45(NS),85.56(90.77),83.68(90.77)
14/03/2015,88.74 (NS),84.86(92.24),87.42(92.24)
07/03/2015,92.53(104.52),85.80(92.43),89.19(100.01)
28/02/2015,92.01(NS),85.87(92.89),90.24(92.89)
21/02/2015,100.46(107.74),86.10(94.93),96.16(103.37)
14/02/2015,108.15(107.20),86.12(95.79),102.45(103.90)
07/02/2015,109.53(111.03),85.41(93.21),103.39 (106.16)
31/01/2015,118.51(112.37),85.61(94.02),110.32(107.98)
24/01/2015,121.43(114.97),83.91(93.36),112.96(109.33)
17/01/2015,131.87(119.07),82.78(94.26),118.38(112.90)
10/01/2015,127.53(123.45),79.19(89.25),117.14(114.24)
03/01/2015,131.40(129.18),76.99(86.44),118.46(117.54)
