0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
29/12/2012,133.93(109.08),N.S.(N.S.),133.93(109.08)
22/12/2012,135.43(107.40),99.94(70.30),126.71(99.92)
15/12/2012,137.41(105.03),98.33(68.22),127.08(96.61)
08/12/2012,136.85(138.57),96.05(95.75),127.13(99.31)
01/12/2012,138.57(109.42),95.75(65.54),128.73(99.63)
24/11/2012,138.20(110.60),93.95(67.89),127.75(100.81)
17/11/2012,140.70(111.12),92.26(68.43),125.57(102.47)
10/11/2012,133.74(112.24),90.30(70.52),123.99(104.29)
03/11/2012,131.61(114.08),88.90(70.49),122.77(104.30)
27/10/2012,N.S.(117.64),88.08(71.70),88.08(103.24)
20/10/2012,130.82(113.25),88.84(73.45),122.44(105.54)
13/10/2012,131.03(111.33),88.08(75.47),122.75(103.61)
06/10/2012,124.03(N.S.),89.19(77.37),114.54(77.37)
29/09/2012,132.88(115.02),92.08(75.96),124.96(104.11)
22/09/2012,135.09(113.23),94.24(73.08),126.75(104.48)
15/09/2012,136.68(112.60),94.36(69.69),127.94(103.56)
08/09/2012,137.02(113.66),93.33(60.36),124.93(105.92)
01/09/2012,137.41(113.42),89.97(67.97),130.45(102.67)
25/08/2012,140.43(113.70),90.18(66.68),127.70(103.27)
18/08/2012,138.65(115.19),89.44(64.59),123.77(102.01)
11/08/2012,142.31(115.50),88.96(87.60),128.47(101.86)
04/08/2012,143.20(115.96),87.60(63.66),128.80(101.33)
28/07/2012,143.90(119.03),84.99(62.42),128.51(102.14)
21/07/2012,143.84(124.68),83.58(63.15),127.09(108.15)
14/07/2012,143.55(127.03),82.55(64.10),124.24(110.04)
07/07/2012,147.60(130.44),82.66(64.09),125.30(111.81)
30/06/2012,149.74(129.86),82.93(63.53),125.02(110.17)
23/06/2012,153.83(129.57),85.43(62.75),127.99(107.79)
16/06/2012,158.77(128.36),90.78(62.03),135.78(103.78)
09/06/2012,164.25(127.18),92.77(61.06),137.95(101.05)
02/06/2012,163.64(125.85),93.10(59.95),136.62(101.83)
26/05/2012,163.17(126.19),92.46(63.64),135.78(106.17)
19/05/2012,158.04(125.29),91.75(64.57),130.94(101.22)
12/05/2012,154.22(124.80),86.28(67.02),126.78(101.18)
05/05/2012,152.88(125.76),85.36(70.81),124.76(102.67)
28/04/2012,150.37(121.04),88.40(70.02),119.51(96.47)
21/04/2012,135.97(119.46),87.60(62.31),109.99(94.48)
14/04/2012,145.17(127.99),84.25(72.04),100.13(90.22)
07/04/2012,119.85(96.43),73.43(72.37),86.22(82.96)
31/03/2012,84.64(72.15),79.50(71.92),82.01(72.04)
24/03/2012,74.04(N.S.),80.18(71.94),79.71(71.94)
17/03/2012,79.99(NS),78.28(73.54),78.73(73.54)
10/03/2012,85.02(81.27),78.14(75.37),82.03(78.55)
03/03/2012,89.71(82.67),76.38(75.98),84.92(79.86)
25/02/2012,90.51(84.78),74.77(76.63),85.65(82.30)
18/02/2012,93.20(89.93),76.25(74.92),88.93(85.91)
11/02/2012,93.78(92.04),76.06(71.60),89.02(88.47)
04/02/2012,98.16(96.15),75.14(76.90),93.40(92.54)
28/01/2012,99.56(103.15),75.89(77.86),91.83(96.29)
21/01/2012,101.80(100.81),73.35(79.77),94.18(96.45)
14/01/2012,102.87(103.61),72.80(75.12),95.77(95.90)
07/01/2012,105.77(104.97),71.56(72.09),97.25(96.79)
