0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
29/12/2012,136.23(108.77),N.S.(N.S.),136.23(108.77)
22/12/2012,137.90(108.57),100.80(70.79),128.73(101.09)
15/12/2012,140.94(106.10),99.06(68.74),129.95(97.56)
08/12/2012,141.37(110.66),96.93(67.95),130.89(100.83)
01/12/2012,143.19(110.62),96.99(66.33),132.66(100.65)
24/11/2012,141.23(112.04),94.91(68.35),130.23(102.01)
17/11/2012,145.55(112.67),93.69(68.86),129.63(103.65)
10/11/2012,136.56(114.12),91.29(70.87),126.35(105.97)
03/11/2012,134.81(116.72),90.47(71.10),125.53(106.63)
27/10/2012,N.S.(120.96),89.40(72.84),89.40(106.20)
20/10/2012,134.66(115.69),89.88(74.35),125.71(107.59)
13/10/2012,136.61(114.85),89.16(76.00),127.65(106.60)
06/10/2012,129.15(N.S.),90.83(77.43),118.52(77.43)
29/09/2012,138.68(120.70),93.30(76.41),129.90(108.68)
22/09/2012,141.03(144.41),96.05(73.41),131.79(106.63)
15/09/2012,144.41(116.39),95.68(70.48),134.38(106.55)
08/09/2012,145.85(117.92),94.09(60.73),131.91(109.92)
01/09/2012,146.64(116.92),89.90(68.62),138.68(105.38)
25/08/2012,148.20(118.23),91.09(67.16),133.85(106.98)
18/08/2012,148.87(120.23),90.39(65.33),131.48(106.19)
11/08/2012,150.25(122.35),89.80(65.43),134.74(107.35)
04/08/2012,150.40(122.45),88.34(64.12),134.43(106.28)
28/07/2012,150.36(124.95),85.71(62.99),133.41(106.75)
21/07/2012,150.59(129.91),84.28(63.76),132.09(112.51)
14/07/2012,149.22(134.52),83.62(64.65),128.23(116.56)
07/07/2012,152.76(131.52),83.83(64.76),129.01(111.97)
30/06/2012,154.04(130.84),84.10(64.15),128.13(110.36)
23/06/2012,158.19(130.52),86.49(63.57),131.04(108.06)
16/06/2012,162.32(129.31),91.44(63.02),138.58(103.80)
09/06/2012,167.09(128.01),93.82(62.45),139.84(101.16)
02/06/2012,166.57(126.74),94.33(61.97),138.42(101.55)
26/05/2012,165.98(127.1),93.45(65.63),137.93(106.11)
19/05/2012,160.45(126.21),92.46(65.97),132.54(101.32)
12/05/2012,156.53(126.00),87.10(68.41),128.41(101.45)
05/05/2012,154.73(125.75),86.48(72.45),125.78(101.87)
28/04/2012,149.68(121.05),89.36(71.60),119.20(96.06)
21/04/2012,133.98(119.46),88.06(63.02),109.09(94.29)
14/04/2012,141.80(128.01),84.80(73.22),99.84(90.20)
07/04/2012,116.83(96.43),73.54(73.51),86.19(83.17)
31/03/2012,87.66(73.94),80.00(73.53),83.84(73.75)
24/03/2012,74.04(N.S.),80.66(72.98),80.17(72.98)
17/03/2012,79.99(NS),78.90(74.63),79.18(74.63)
10/03/2012,85.59(84.92),78.51(76.24),82.52(80.87)
03/03/2012,89.81(84.77),77.38(77.57),85.30(81.68)
25/02/2012,90.65(85.66),75.60(78.80),85.98(83.45)
18/02/2012,93.58(90.36),76.86(76.49),89.36(86.48)
11/02/2012,94.20(93.66),76.62(71.94),89.46(89.92)
04/02/2012,98.01(97.01),64.24(68.31),75.90(78.34)
28/01/2012,99.62(104.59),76.71(78.95),92.21(97.36)
21/01/2012,101.47(102.57),73.87(80.13),94.10(97.57)
14/01/2012,103.18(105.33),73.33(75.80),96.02(97.21)
07/01/2012,106.12(106.77),72.01(73.14),97.61(98.22)
