Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
29/12/2012,145.47(124.07),131.33(97.82),122.91(101.76),98.99(N.S.),,N.S.(N.S.),N.S.(N.S.),N.S.(N.S.),N.S.(N.S.)
22/12/2012,145.30(121.55),133.74(97.94),126.51(103.80),103.02(N.S.),,103.74(80.74),97.88(64.22),96.88(66.23),99.46(62.24)
15/12/2012,146.65(118.86),138.22(96.50),126.77(99.38),103.02(N.S.),,103.25(79.51),95.82(61.63),95.84(65.04),95.91(61.33)
08/12/2012,146.89(122.54),134.98(101.41),127.77(96.60),103.55(N.S.),,101.03(79.39),93.99(59.57),93.35(64.55),91.81(58.85)
01/12/2012,148.97(127.40),133.42(101.55),128.94(95.56),105.07(N.S.),,99.60(79.70),93.50(59.31),93.28(63.54),92.39(57.88)
24/11/2012,151.77(123.35),134.58(105.74),129.38(100.06),104.67(N.S.),,97.39(80.71),92.37(60.22),92.77(64.77),89.49(56.37)
17/11/2012,149.59(124.22),135.22(104.41),126.30(104.16),100.71(N.S.),,96.76(79.95),89.27(61.88),N.S.(65.16),87.91(56.11)
10/11/2012,150.00(126.11),131.32(109.60),122.44(104.50),98.93(N.S.),,95.50(79.94),87.61(63.06),89.23(66.39),83.62(60.91)
03/11/2012,145.61(126.16),129.20(109.80),120.08(103.47),96.52(N.S.),,95.61(80.88),83.90(63.37),87.27(68.84),82.04(61.88)
27/10/2012,N.S.(126.83),N.S.(114.64),N.S.(99.51),N.S.(N.S.),,95.87(82.23),83.07(65.55),87.22(N.S.),84.82(60.17)
20/10/2012,147.22(125.23),127.64(111.19),113.36(99.97),94.49(N.S.),,96.37(85.45),84.38(67.08),86.88(72.09),84.98(58.77)
13/10/2012,146.07(127.88),130.98(110.38),113.75(97.75),95.27(N.S.),,97.21(89.74),83.76(67.47),86.65(71.11),82.96(63.54)
06/10/2012,N.S.(N.S.),133.24(N.S.),113.36(N.S.),97.62(N.S.),,98.20(94.45),84.46(68.30),87.92(74.02),83.31(62.26)
29/09/2012,144.86(129.41),135.26(112.61),112.58(90.75),96.20(N.S.),,99.31(91.78),87.22(67.92),88.49(68.45),83.94(60.47)
22/09/2012,146.99(129.12),136.01(108.56),117.89(94.70),100.96(N.S.),,99.18(88.34),88.77(65.26),91.44(69.17),87.24(56.80)
15/09/2012,149.61(124.09),136.53(111.82),119.97(97.89),106.72(N.S.),,98.84(83.19),92.12(62.64),93.07(66.53),88.13(55.65)
08/09/2012,147.33(125.08),139.07(110.45),121.68(102.12),105.08(N.S.),,96.05(N.S.),91.72(60.56),93.24(64.09),89.27(55.36)
01/09/2012,148.24(126.50),138.96(109.15),122.95(97.5),107.08(N.S.),,N.S.(82.02),90.19(59.50),91.41(63.23),86.75(56.11)
25/08/2012,151.27(125.23),142.04(110.82),125.24(102.59),107.66(N.S.),,93.87(80.09),87.54(59.03),89.68(63.47),87.48(54.64)
18/08/2012,149.78(126.04),141.10(111.48),124.41(101.42),108.69(N.S.),,95.17(77.47),84.65(57.80),87.25(62.40),85.96(53.59)
11/08/2012,151.48(126.60),143.23(111.70),126.34(104.61),110.28(N.S.),,95.84(78.20),84.32(56.65),86.11(60.51),85.59(54.58)
04/08/2012,152.58(125.91),143.48(111.17),127.63(105.72),107.42(N.S.),,97.03(75.99),81.44(55.91),84.78(59.57),83.85(53.14)
28/07/2012,154.80(125.85),142.38(118.42),128.59(109.36),113.15(N.S.),,95.79(75.34),78.58(56.64),82.68(59.41),80.22(53.75)
21/07/2012,154.41(135.41),144.16(122.06),129.3(112.84),110.40(N.S.),,94.26(75.14),77.23(56.67),80.73(58.44),80.06(53.69)
14/07/2012,157.21(135.67),143.41(126.51),127.43(113.36),110.96(N.S.),,93.53(76.60),76.14(57.03),79.50(59.27),80.25(55.37)
07/07/2012,160.15(138.71),148.92(133.98),129.80(114.50),111.09(N.S.),,90.19(74.20),77.32(58.70),80.30(60.20),80.81(52.49)
30/06/2012,158.63(136.63),151.69(132.21),134.74(115.87),118.94(N.S.),,88.75(73.19),79.20(59.10),81.00(58.54),79.21(51.89)
23/06/2012,163.32(134.39),154.53(129.42),141.96(122.78),125.93(N.S.),,91.20(70.91),82.43(59.96),83.67(59.58),78.36(52.27)
16/06/2012,166.41(132.01),158.51(126.8),149.13(125.57),131.74(N.S.),,95.89(71.87),88.47(59.74),85.55(57.90),78.88(50.02)
09/06/2012,174.54(129.46),161.87(121.35),153.32(131.09),134.28(N.S.),,97.17(69.73),92.18(57.82),88.24(58.96),81.76(51.38)
02/06/2012,173.92(125.31),159.32(121.11),156.72(133.7),134.18(N.S.),,97.76(70.47),93.13(55.6),89.95(55.24),81.24(50.87)
26/05/2012,171.32(127.82),160.39(123.75),156.51(126.81),142.42(N.S.),,99.43(72.97),91.88(57.15),89.88(58.17),78.20(53.14)
19/05/2012,164.07(131.12),158.06(123.70),150.25(119.69),143.07(N.S.),,101.01(76.63),86.77(57.23),88.23(60.54),75.71(55.19)
12/05/2012,162.1(129.54),155.12(127.5),145.52(114.59),137.45(N.S.),,97.46(80.46),81.8(57.77),83.64(63.08),72.08(56.2)
05/05/2012,164.00(135.19),158.11(131.24),138.39(113.02),N.S.(N.S.),,99.81(80.17),79.31(60.82),79.95(64.20),69.43(57.66)
28/04/2012,160.41(140.62),155.88(110.66),141.57(119.53),N.S.(N.S.),,104.59(81.67),78.26(62.11),78.85(64.71),69.14(56.62)
21/04/2012,124.63(112.52),141.97(N.S.),139.73(123.07),N.S.(N.S.),,103.04(N.S.),77.22(63.58),79.30(66.54),68.51(56.42)
14/04/2012,129.59(130.97),158.26(112.64),146.26(129.94),N.S.(N.S.),,98.82(82.87),75.93(64.43),79.57(68.13),65.97(56.86)
07/04/2012,102.56(125.62),133.30(66.31),122.72(133.27),N.S.(N.S.),,N.S.(81.01),74.27(67.10),78.68(67.79),66.26(56.79)
31/03/2012,80.03(71.64),88.99(66.40),112.72(85.74),N.S.(N.S.),,92.47(79.78),74.36(69.81),76.19(63.05),65.95(58.52)
24/03/2012,N.S.(N.S.),N.S.(N.S.),74.04(N.S.),N.S.(N.S.),,94.43(79.19),73.49(70.55),74.8(70.02),64.27(58.37)
17/03/2012,NS (NS),NS (NS),79.99(NS),N.S.(N.S.),,90.19(79.59),71.64(72.83),72.63(70.98),64.77(57.48)
10/03/2012,87.52(86.77),80.30(79.00),NS(74.65),N.S.(N.S.),,89.21(82.46),71.92(71.21),71.43(72.44),62.85(59.20)
03/03/2012,92.20(83.67),NS (NS),82.52(78.11),N.S.(N.S.),,86.25(81.97),71.55(72.81),70.82(71.89),64.34(57.81)
25/02/2012,99.05(91.23),75.41(76.06),82.29(77.20),N.S.(N.S.),,84.32(83.65),70.55(72.86),70.50(74.77),63.58(60.55)
18/02/2012,102.62(97.43),86.88(87.80),85.09(78.19),N.S.(N.S.),,85.34(81.96),71.84(72.99),69.81(75.25),64.24(61.67)
11/02/2012,106.69(102.18),86.81(87.99),89.23(78.54),N.S.(N.S.),,83.67(N.S.),71.97(73.27),70.87(74.55),64.46(62.01)
04/02/2012,108.90(107.94),86.95(92.20),96.18(84.39),N.S.(N.S.),,82.19(81.49),71.37(73.22),70.06(73.10),64.24(68.31)
28/01/2012,112.13(111.39),86.06(N.S.),N.S.(88.38),N.S.(N.S.),,82.33(82.80),71.33(73.14),70.25(75.12),67.50(69.57)
21/01/2012,113.38(113.17),87.79(93.03),N.S.(91.70),N.S.(N.S.),,81.79(87.15),70.43(73.27),70.52(76.50),68.22(72.60)
14/01/2012,118.92(114.48),89.85(96.59),96.94(99.00),N.S.(N.S.),,83.46(82.39),67.90(71.25),68.00(74.67),64.48(68.76)
07/01/2012,121.61(115.60),93.40(95.83),98.40(103.05),N.S.(N.S.),,82.74(79.58),65.22(67.62),68.65(70.66),62.63(63.15)
